index,hight,width,estimate
0,8,1,0.0
1,8,1,0.0
2,5,2,0.0
3,5,2,0.0
4,5,2,0.0
5,6,2,0.0
6,5,2,0.0
7,6,2,0.0
8,7,2,0.0
9,5,2,0.0
10,7,2,0.0
11,4,2,0.0
12,6,2,0.0
13,4,2,0.0
14,7,2,0.0
15,5,2,0.0
16,5,2,0.0
17,5,2,0.0
18,5,2,0.0
19,5,2,0.0
20,7,2,0.0
21,7,2,0.0
22,7,2,0.0
23,6,2,0.0
24,6,2,0.0
25,5,2,0.0
26,5,2,0.0
27,4,2,0.0
28,5,2,0.0
29,6,2,0.0
30,6,2,0.0
31,6,2,0.0
32,5,2,0.0
33,6,2,0.0
34,6,2,0.0
35,5,2,0.0
36,6,2,0.0
37,7,2,0.0
38,6,2,0.0
39,6,2,0.0
40,5,2,0.0
41,5,2,0.0
42,7,2,0.0
43,5,2,0.0
44,5,2,0.0
45,5,2,0.0
46,6,2,0.0
47,4,2,0.0
48,4,2,0.0
49,7,2,0.0
50,5,2,0.0
51,7,2,0.0
52,5,2,0.0
53,7,2,0.0
54,4,2,0.0
55,6,2,0.0
56,6,2,0.0
57,4,2,0.0
58,5,2,0.0
59,7,2,0.0
60,5,2,0.0
61,6,2,0.0
62,6,2,0.0
63,6,2,0.0
64,6,2,0.0
65,5,2,0.0
66,5,2,0.0
67,6,2,0.0
68,5,2,0.0
69,5,2,0.0
70,7,2,0.0
71,6,2,0.0
72,6,2,0.0
73,4,2,0.0
74,6,2,0.0
75,4,2,0.0
76,5,2,0.0
77,7,2,0.0
78,4,2,0.0
79,6,2,0.0
80,7,2,0.0
81,5,2,0.0
82,5,2,0.0
83,6,2,0.0
84,4,2,0.0
85,4,2,0.0
86,5,2,0.0
87,6,2,0.0
88,7,2,0.0
89,7,2,0.0
90,5,2,0.0
91,6,2,0.0
92,5,2,0.0
93,5,2,0.0
94,6,2,0.0
95,5,2,0.0
96,5,2,0.0
97,4,2,0.0
98,6,2,0.0
99,5,2,0.0
100,6,2,0.0
101,6,2,0.0
102,6,2,0.0
103,6,2,0.0
104,5,2,0.0
105,5,2,0.0
106,4,2,0.0
107,6,2,0.0
108,5,2,0.0
109,5,2,0.0
110,6,2,0.0
111,5,2,0.0
112,5,2,0.0
113,6,2,0.0
114,5,2,0.0
115,4,2,0.0
116,6,2,0.0
117,6,2,0.0
118,5,2,0.0
119,6,2,0.0
120,6,2,0.0
121,6,2,0.0
122,5,2,0.0
123,6,2,0.0
124,6,2,0.0
125,4,2,0.0
126,6,2,0.0
127,6,2,0.0
128,5,2,0.0
129,6,2,0.0
130,6,2,0.0
131,7,2,0.0
132,6,2,0.0
133,5,2,0.0
134,6,2,0.0
135,6,2,0.0
136,5,2,0.0
137,6,2,0.0
138,6,2,0.0
139,5,2,0.0
140,6,2,0.0
141,6,2,0.0
142,4,2,0.0
143,6,2,0.0
144,6,2,0.0
145,6,2,0.0
146,4,2,0.0
147,6,2,0.0
148,5,2,0.0
149,5,2,0.0
150,7,2,0.0
151,6,2,0.0
152,5,2,0.0
153,7,2,0.0
154,6,2,0.0
155,6,2,0.0
156,5,2,0.0
157,6,2,0.0
158,4,2,0.0
159,5,2,0.0
160,5,2,0.0
161,7,2,0.0
162,5,2,0.0
163,5,2,0.0
164,5,2,0.0
165,4,2,0.0
166,4,2,0.0
167,6,2,0.0
168,4,2,0.0
169,4,2,0.0
170,4,2,0.0
171,6,2,0.0
172,4,2,0.0
173,6,2,0.0
174,6,2,0.0
175,5,2,0.0
176,7,2,0.0
177,5,2,0.0
178,5,2,0.0
179,6,2,0.0
180,6,2,0.0
181,5,2,0.0
182,6,2,0.0
183,5,2,0.0
184,7,2,0.0
185,5,2,0.0
186,6,2,0.0
187,5,2,0.0
188,7,2,0.0
189,5,2,0.0
190,5,2,0.0
191,7,2,0.0
192,4,2,0.0
193,5,2,0.0
194,5,2,0.0
195,5,2,0.0
196,6,2,0.0
197,6,2,0.0
198,4,2,0.0
199,6,2,0.0
200,5,2,0.0
201,6,2,0.0
202,5,2,0.0
203,5,2,0.0
204,4,2,0.0
205,5,2,0.0
206,6,2,0.0
207,5,2,0.0
208,7,2,0.0
209,6,2,0.0
210,5,2,0.0
211,6,2,0.0
212,6,2,0.0
213,6,2,0.0
214,5,2,0.0
215,4,2,0.0
216,5,2,0.0
217,4,2,0.0
218,5,2,0.0
219,4,2,0.0
220,5,2,0.0
221,6,2,0.0
222,6,2,0.0
223,5,2,0.0
224,4,2,0.0
225,5,2,0.0
226,5,2,0.0
227,4,2,0.0
228,5,2,0.0
229,6,2,0.0
230,6,2,0.0
231,6,2,0.0
232,4,2,0.0
233,5,2,0.0
234,5,2,0.0
235,5,2,0.0
236,6,2,0.0
237,6,2,0.0
238,7,2,0.0
239,5,2,0.0
240,5,3,0.0
241,4,3,0.0
242,4,3,0.0
243,5,3,0.0
244,3,3,0.0
245,4,3,0.0
246,5,3,0.0
247,5,3,0.0
248,4,3,0.0
249,4,3,0.0
250,4,3,0.0
251,5,3,0.0
252,4,3,0.0
253,4,3,0.0
254,4,3,0.0
255,3,3,0.0
256,4,3,0.0
257,5,3,0.0
258,4,3,0.0
259,4,3,0.0
260,4,3,0.0
261,4,3,0.0
262,4,3,0.0
263,5,3,0.0
264,5,3,0.0
265,5,3,0.0
266,6,3,0.0
267,5,3,0.0
268,6,3,0.0
269,4,3,0.0
270,5,3,0.0
271,5,3,0.0
272,6,3,0.0
273,4,3,0.0
274,4,3,0.0
275,3,3,0.0
276,4,3,0.0
277,6,3,0.0
278,4,3,0.0
279,5,3,0.0
280,5,3,0.0
281,5,3,0.0
282,5,3,0.0
283,4,3,0.0
284,5,3,0.0
285,4,3,0.0
286,5,3,0.0
287,6,3,0.0
288,5,3,0.0
289,4,3,0.0
290,6,3,0.0
291,4,3,0.0
292,4,3,0.0
293,5,3,0.0
294,5,3,0.0
295,4,3,0.0
296,5,3,0.0
297,4,3,0.0
298,5,3,0.0
299,4,3,0.0
300,5,3,0.0
301,5,3,0.0
302,4,3,0.0
303,4,3,0.0
304,6,3,0.0
305,4,3,0.0
306,5,3,0.0
307,4,3,0.0
308,5,3,0.0
309,4,3,0.0
310,5,3,0.0
311,3,3,0.0
312,4,3,0.0
313,4,3,0.0
314,4,3,0.0
315,5,3,0.0
316,4,3,0.0
317,5,3,0.0
318,6,3,0.0
319,4,3,0.0
320,5,3,0.0
321,5,3,0.0
322,4,3,0.0
323,4,3,0.0
324,5,3,0.0
325,3,3,0.0
326,4,3,0.0
327,5,3,0.0
328,5,3,0.0
329,4,3,0.0
330,6,3,0.0
331,5,3,0.0
332,6,3,0.0
333,4,3,0.0
334,5,3,0.0
335,5,3,0.0
336,4,3,0.0
337,5,3,0.0
338,6,3,0.0
339,5,3,0.0
340,4,3,0.0
341,3,3,0.0
342,4,3,0.0
343,4,3,0.0
344,4,3,0.0
345,5,3,0.0
346,4,3,0.0
