index,hight,width,estimate
0,9,1,0.0
1,7,2,0.0
2,7,2,0.0
3,8,2,0.0
4,7,2,0.0
5,7,2,0.0
6,8,2,0.0
7,7,2,0.0
8,8,2,0.0
9,7,2,0.0
10,7,2,0.0
11,6,2,0.0
12,6,2,0.0
13,8,2,0.0
14,7,2,0.0
15,6,2,0.0
16,7,2,0.0
17,7,2,0.0
18,7,2,0.0
19,8,2,0.0
20,7,2,0.0
21,6,2,0.0
22,8,2,0.0
23,6,2,0.0
24,6,2,0.0
25,8,2,0.0
26,7,2,0.0
27,7,2,0.0
28,7,2,0.0
29,6,2,0.0
30,7,2,0.0
31,7,2,0.0
32,7,2,0.0
33,7,2,0.0
34,8,2,0.0
35,8,2,0.0
36,7,2,0.0
37,8,2,0.0
38,6,3,0.0
39,6,3,0.0
40,6,3,0.0
41,7,3,0.0
42,7,3,0.0
43,6,3,0.0
44,7,3,0.0
45,6,3,0.0
46,6,3,0.0
47,7,3,0.0
48,6,3,0.0
49,6,3,0.0
50,6,3,0.0
51,7,3,0.0
52,6,3,0.0
53,6,4,0.0
0,6

