index,hight,width,estimate
0,7,1,0.0
1,7,1,0.0
2,5,2,0.0
3,4,2,0.0
4,6,2,0.0
5,4,2,0.0
6,4,2,0.0
7,6,2,0.0
8,5,2,0.0
9,4,2,0.0
10,5,2,0.0
11,4,2,0.0
12,6,2,0.0
13,4,2,0.0
14,4,2,0.0
15,4,2,0.0
16,4,2,0.0
17,5,2,0.0
18,6,2,0.0
19,5,2,0.0
20,3,2,0.0
21,5,2,0.0
22,4,2,0.0
23,5,2,0.0
24,6,2,0.0
25,5,2,0.0
26,6,2,0.0
27,5,2,0.0
28,6,2,0.0
29,5,2,0.0
30,5,2,0.0
31,5,2,0.0
32,5,2,0.0
33,6,2,0.0
34,4,2,0.0
35,5,2,0.0
36,6,2,0.0
37,6,2,0.0
38,4,2,0.0
39,6,2,0.0
40,6,2,0.0
41,5,2,0.0
42,5,2,0.0
43,4,2,0.0
44,6,2,0.0
45,4,2,0.0
46,4,2,0.0
47,6,2,0.0
48,5,2,0.0
49,6,2,0.0
50,4,2,0.0
51,6,2,0.0
52,5,2,0.0
53,5,2,0.0
54,6,2,0.0
55,6,2,0.0
56,5,2,0.0
57,5,2,0.0
58,4,2,0.0
59,5,2,0.0
60,4,2,0.0
61,5,2,0.0
62,5,2,0.0
63,5,2,0.0
64,5,2,0.0
65,5,2,0.0
66,5,2,0.0
67,5,2,0.0
68,5,2,0.0
69,4,2,0.0
70,5,2,0.0
71,5,2,0.0
72,6,2,0.0
73,4,2,0.0
74,5,2,0.0
75,3,3,0.0
76,5,3,0.0
77,4,3,0.0
78,5,3,0.0
79,4,3,0.0
80,4,3,0.0
81,5,3,0.0
82,4,3,0.0
83,5,3,0.0
84,3,3,0.0
85,4,3,0.0
86,4,3,0.0
87,4,3,0.0
88,4,3,0.0
89,5,3,0.0
90,5,3,0.0
91,3,3,0.0
92,4,3,0.0
93,4,3,0.0
94,4,3,0.0
95,5,3,0.0
96,5,3,0.0
97,3,3,0.0
98,5,3,0.0
99,3,3,0.0
100,4,3,0.0
101,4,3,0.0
102,4,3,0.0
103,4,4,0.0
104,3,4,0.0
0,1

