index,hight,width,estimate
0,5,2,47643.67206491156
1,6,2,47452.65926741845
2,6,2,47643.62427610649
3,6,2,47548.13961172258
4,7,2,47643.67206491156
5,4,2,47452.65926741845
6,7,2,47548.09184897717
7,6,2,47643.62427610649
8,5,2,40508.12946298583
9,5,2,47548.13961172258
10,6,2,40508.12946298583
11,6,2,47643.67206491156
12,6,2,47643.67206491156
13,5,2,47548.09184897717
14,5,2,48314.03418060475
15,5,2,55680.55298376469
16,4,2,55580.78399388987
17,5,3,54287.417281213406
18,6,3,54287.36771370183
19,5,3,46975.81701614052
20,5,3,54188.328126481574
21,6,3,54386.558544830084
22,5,3,54386.558544830084
23,4,3,54386.558544830084
24,5,3,47643.67206491156
25,5,3,54386.50895125886
26,5,3,47643.67206491156
27,4,3,55680.60291623306
28,5,3,55780.4739474611
29,4,3,55780.4739474611
30,4,3,55780.42398893308
31,5,3,55680.60291623306
32,3,3,55780.4739474611
33,4,3,48314.082151888215
34,3,3,55780.42398893308
35,4,3,55780.42398893308
36,4,3,55780.42398893308
37,4,3,55780.37403041808
38,3,4,55780.4739474611
39,4,4,55780.4739474611
10,8,19,1,5,6,13,3,9,2,7,4,12,11,26,24,0,20,18,17,25,21,22,23
14,33,16,15,31,27,37,30,36,35,34,28,29,39,32,38
