index,hight,width,estimate
0,5,2,37764.53602099234
1,6,2,45791.53149575151
2,7,2,38007.25232133914
3,6,2,31499.08503903747
4,6,2,38250.346932237895
5,7,2,38959.355726651236
6,6,2,31499.08503903747
7,7,2,38250.346932237895
8,5,2,38471.344746943156
9,6,2,38959.355726651236
10,6,2,39862.13300031697
11,6,2,31499.08503903747
12,7,2,33040.11177802607
13,5,2,46038.05510643875
14,5,2,46038.05510643875
15,4,2,54204.03712557393
16,5,2,46781.44155971257
17,5,2,46781.44155971257
18,4,2,54204.03712557393
19,4,2,38951.303244346855
20,6,3,45052.40745904253
21,5,3,31499.08503903747
22,6,3,40578.39250355093
23,3,3,54195.2413370561
24,4,3,53429.43539577321
25,4,3,46772.99950607274
26,3,3,54973.0054491904
27,4,3,54195.2413370561
28,4,3,54973.0054491904
29,4,3,46772.99950607274
30,4,3,54981.837484923024
31,3,4,54964.17382421512
3,6,11,21,12,0,2,7,4,8,5,9,10,22,20,1
19,14,13,29,25,17,16,24,27,23,15,18,31,28,26,30
