index,hight,width,estimate
0,6,2,55464.78457551673
1,7,2,55464.78457551673
2,6,2,55425.91841548238
3,5,2,54861.97045799946
4,6,2,55289.28230693275
5,9,2,55173.544392694275
6,5,2,54861.97045799946
7,7,2,54728.38970349459
8,6,2,54483.22381501452
9,8,2,55073.98713814968
10,7,2,54744.47555154105
11,6,2,54953.69315156962
12,7,2,54608.32478518748
13,8,2,55134.73758518017
14,6,2,55370.7879318648
15,7,2,55018.94832211907
16,7,2,54393.80460055283
17,7,2,54399.488328267835
18,8,2,55079.69131207589
19,7,2,55383.23877591813
20,5,2,55543.837047296656
21,6,2,55079.69131207589
22,8,2,54493.005087147874
23,5,2,54652.85401398528
24,6,2,55625.45540418527
25,6,2,55064.033997849154
26,6,2,55425.91841548238
27,7,2,55619.72919248715
28,6,2,55147.02740171415
29,7,2,54663.23442418759
30,8,2,55425.92059322915
31,7,2,54602.634772241916
32,6,2,55309.951988178414
33,8,2,55173.544392694275
34,7,2,54838.16303801239
35,9,2,55464.786753840504
36,5,2,55625.453223477416
37,6,2,54773.406382714405
38,6,2,55425.92059322915
39,7,2,54454.3373233854
40,8,2,55365.07720706734
41,6,2,55365.07503022411
42,8,2,54701.94493044295
43,7,2,55373.41152149326
44,7,2,55344.387475190226
45,7,2,54602.634772241916
46,7,2,54663.23442418759
47,6,2,55370.7879318648
48,7,2,54744.47555154105
49,7,2,55283.57009831569
50,6,2,55047.484024416386
51,7,2,54937.59674370416
52,7,2,54608.32478518748
53,6,2,54773.406382714405
54,7,2,55018.94832211907
55,8,2,54701.94493044295
56,7,2,55289.28055754111
57,6,2,54953.69315156962
58,8,2,55383.23702566401
59,6,2,55333.967811679155
60,8,2,55619.73487795639
61,6,2,55519.942223692065
62,8,2,55370.790108792884
63,5,2,55328.85275988801
64,6,2,55470.49756587345
65,6,2,55376.035750883435
66,5,2,55625.45032383783
67,5,2,55328.85275988801
68,6,2,54861.96811226771
69,6,2,55388.9491114246
70,6,2,55428.543367509374
71,6,2,54888.44088362034
72,6,2,55234.18821478481
73,5,2,55223.906868983846
74,6,2,55234.18821478481
75,5,2,54637.37846566042
76,5,2,55333.962739082686
77,6,2,55318.29681683032
78,6,2,55625.45032383783
79,6,2,55234.18821478481
80,6,2,54861.96811226771
81,6,2,55333.96098928085
82,6,2,55780.528760195644
83,6,2,54652.85167156392
84,5,2,55223.906868983846
85,6,2,55780.52525240295
86,6,2,55625.45032383783
87,5,2,55082.30932276674
88,6,2,55333.96098928085
89,6,2,55470.49756587345
90,6,2,55289.27919807997
91,5,2,55373.412125142066
92,5,2,55218.6638411873
93,6,3,55035.199282385765
94,6,3,55680.65376716598
95,6,3,54927.79248059632
96,6,3,55780.53384466196
97,6,3,55444.09128058984
98,7,3,55444.09128058984
99,5,3,55173.54303386012
100,7,3,55464.774423363895
101,6,3,55234.32664224989
102,6,3,55619.722359868836
103,7,3,55525.66133787397
104,7,3,54493.00839525068
105,6,3,55073.98713814968
106,5,3,55780.52793930682
107,7,3,55519.9475150524
108,7,3,55166.21009823558
109,5,3,55344.38922508777
110,4,3,55780.52815386215
111,7,3,55580.83127883965
112,5,3,55179.241416201396
113,8,3,55464.77617436613
114,6,3,55383.23545226473
