index,hight,width,estimate
0,5,2,6.522158778257626
1,6,2,6.522158778257626
2,6,2,8.555487765569227
3,5,2,6.522158778257626
4,5,2,14.508497187165625
5,5,2,24.021730863233795
6,5,2,6.522158778257626
7,5,2,43.25499413098143
8,5,2,21.988401875922197
9,5,2,8.555487765569227
10,5,2,8.555487765569227
11,6,2,8.049054045417797
12,5,2,39.18833615635823
13,5,2,14.508497187165627
14,6,2,44.781889398141594
15,4,2,10.082383032729398
16,5,2,10.082383032729398
17,5,2,43.25499413098143
18,6,2,14.508497187165625
19,5,2,22.494835596073628
20,6,2,41.221665143669824
21,7,2,8.555487765569227
22,6,2,21.988401875922197
23,6,2,16.035392454325795
24,5,2,41.221665143669824
25,5,2,22.494835596073628
26,5,2,8.049054045417797
27,5,2,6.5221587782576265
28,5,2,16.035392454325795
29,7,2,21.988401875922197
30,6,2,14.508497187165627
31,6,2,24.021730863233795
32,6,2,21.988401875922197
33,6,2,39.18833615635823
34,7,2,12.475168199854027
35,6,2,22.494835596073628
36,5,2,22.494835596073628
37,5,2,12.475168199854027
38,6,2,12.475168199854027
39,7,2,44.781889398141594
40,6,2,12.475168199854027
41,4,2,6.522158778257626
42,5,2,7.2135972509764965
43,5,2,1.6349481009107847
44,6,2,10.948273171461887
45,5,2,8.049054046556495
46,5,2,0.5286907411347497
47,6,2,8.509131937623255
48,6,2,10.948273171461887
49,5,2,0.5286907411347497
50,5,2,2.0021121483493722
51,5,2,1.6349481009107847
52,4,2,1.6349481009107847
53,5,2,7.2135972509764965
54,5,2,2.0021121483493722
55,6,2,8.509131937623255
56,6,2,16.495470346531253
57,5,2,8.049054046556495
58,4,2,1.6349481009107847
59,6,2,16.495470346531253
60,5,3,13.027957747951428
61,5,3,39.74072627371398
62,7,3,13.027558317209783
63,6,3,1.6043719039462254
64,5,3,1.6043719039462254
65,5,3,7.074948326355025
66,5,3,7.120983293163951
67,6,3,13.073992714760353
68,5,3,1.573530087128813
69,5,3,36.27337081434335
70,5,3,0.620781623360148
71,4,3,13.027957747951428
72,6,3,7.120983293163951
73,5,3,13.027558317209783
74,5,3,1.6043719039462254
75,6,3,3.9382379347054255
76,5,3,8.049054045417797
77,7,3,13.073992714760353
78,6,3,13.027957747951428
79,4,3,8.049054045417797
80,6,3,36.27337081434335
81,6,3,1.6044240900298252
82,6,3,1.6043719039462254
83,7,3,13.073992714760353
84,5,3,1.9713226762057474
85,6,3,0.620781623360148
86,6,3,0.9879455122085479
87,5,3,39.74072627371398
88,5,3,1.6044240900298252
89,5,3,0.9879455122085479
90,5,3,0.6207816233601471
91,5,3,3.9382379347054255
92,5,3,1.573530087128813
93,4,3,7.074948326355025
94,6,3,13.027558317209783
95,6,3,1.573530087128813
96,6,3,1.9713226762057474
97,7,3,1.6043719039462254
98,5,3,39.74112570445563
99,6,3,13.027558317209783
100,5,3,0.6207816233601471
101,5,3,13.027957747951428
102,5,3,1.6044240900298252
103,6,3,7.07454889561338
104,5,3,1.6043719039462254
105,6,3,13.073992714760353
106,4,3,1.573530087128813
107,5,3,40.7152314235184
108,6,3,40.7152314235184
109,4,3,1.6044240900298252
110,5,3,39.74112570445563
111,5,3,7.07454889561338
112,6,3,7.1209832943026505
113,4,3,3.9688667935241475
114,5,3,10.542460924934856
115,5,3,3.876936841804027
116,4,3,1.8795101197595496
117,4,3,1.5427924852656276
118,4,3,9.51392918215692
119,5,3,3.9073961192652273
120,5,3,9.467334301506042
121,4,3,12.115712021179695
122,4,3,3.9691316204260625
123,4,3,3.8464775643428273
124,4,3,3.9688667935241475
125,4,3,12.115712021179695
126,5,3,10.542460924934856
127,5,3,14.002063468152896
128,5,3,3.9690795929326503
129,4,3,1.8792317939803493
130,4,3,3.9073961192652273
131,5,3,1.6042651543034263
132,4,3,2.985489153756385
133,5,3,7.028592259641025
134,4,3,1.5427924852656276
135,4,3,9.56020285897785
136,4,3,3.8464775643428273
137,5,3,11.132858647370096
138,6,3,9.56020285897785
139,6,3,7.1209832943026505
140,4,3,2.985489153756385
141,5,3,3.9073961192652273
142,5,3,10.588497564258683
143,3,3,3.9691316204260625
144,4,3,9.51392918215692
145,4,3,1.8792317939803493
146,4,3,3.9692364683638255
147,4,3,3.9692356754128872
148,5,3,3.9690795929326503
