index,hight,width,estimate
0,5,1,-8824.380202864673
1,5,1,-8824.380202864673
2,5,1,-8511.613832062532
3,5,1,-8824.380202864673
4,5,1,-8511.613832062532
5,5,1,-8511.613832062532
6,5,1,-8824.380202864673
7,5,1,-8511.613832062532
8,3,2,-4993.883643640044
9,4,2,-6953.892037511365
10,4,2,-6924.567420681431
11,4,2,-8511.611127475033
12,4,2,-8612.15356062991
13,4,2,-8612.15356062991
14,3,2,-4993.883643640044
15,3,2,-6924.56721679971
16,4,2,-6359.264456054892
17,4,2,-8612.15356062991
18,4,2,-6924.567420681431
19,4,2,-6953.892037511365
20,4,2,-6359.264216010898
21,4,2,-6953.892037511365
22,4,2,-6359.264456054892
23,4,2,-4450.470059954929
24,3,2,-6924.56721679971
25,3,2,-6924.56721679971
26,4,2,-6359.264216010898
27,3,2,-8511.611098561272
28,4,2,-4450.470059954929
29,4,2,-8511.613803148723
30,4,2,-8511.613803148723
31,3,2,-6924.56721679971
32,4,2,-6953.892037511365
33,4,2,-8511.611127475033
34,3,2,-6924.567395313546
35,4,2,-8612.15356062991
36,3,3,-4450.468749447828
37,3,3,-4450.468749447828
38,3,3,-4559.4270669587795
39,3,3,-6924.567191431827
40,3,3,-6359.264505079753
41,3,3,-6924.567191431827
42,3,3,-6359.264192002202
43,3,3,-4579.961209585026
44,2,4,-4579.959872962679
0,6,1

