index,hight,width,estimate
0,5,1,-8511.613832062532
1,5,1,-8824.380202864673
2,5,1,-8511.613832062532
3,5,1,-8824.380202864673
4,5,1,-8824.380202864673
5,5,1,-8511.613832062532
6,5,1,-8511.613832062532
7,5,1,-8824.380202864673
8,4,2,-8511.613803148723
9,4,2,-4450.470059954929
10,4,2,-6630.293607742347
11,3,2,-5021.793628571133
12,4,2,-6924.567420681431
13,4,2,-8511.613803148723
14,4,2,-6924.567420681431
15,4,2,-6390.71619854565
16,3,2,-5021.793628571133
17,4,2,-6924.567420681431
18,4,2,-8612.15356062991
19,4,2,-6359.264456054892
20,4,2,-6359.264456054892
21,4,2,-4450.470059954929
22,4,2,-4450.470059954929
23,4,2,-6390.71619854565
24,4,2,-6953.892037511365
25,4,2,-6953.892037511365
26,3,2,-6924.567395313546
27,3,2,-4754.931892121052
28,3,2,-6924.567395313546
29,3,2,-5021.793628571133
30,4,2,-8612.15356062991
31,4,2,-4450.470059954929
32,3,2,-4993.883643640044
33,3,2,-5021.793628571133
34,4,2,-6924.567420681431
35,4,2,-6630.293607742347
36,3,3,-4579.961426173139
37,3,3,-4579.961209585026
38,3,3,-3583.409554331698
39,3,3,-6446.304091865359
40,3,3,-3583.409554331698
41,3,3,-3261.426998852148
42,3,3,-4559.4270669587795
43,3,3,-6446.304091865359
44,2,4,-3388.905051457618
1,3,4,7,30,18,2,6,5,0
