index,hight,width,estimate
0,3,2,55551.54878858205
1,3,2,55664.45604865758
2,3,2,55664.45604865758
3,3,2,51582.38259593138
4,3,2,55664.45604865758
5,3,2,55664.45604865758
6,3,2,55551.54878858205
7,3,2,55664.45604865758
8,3,2,55551.54878858205
9,3,2,55551.54878858205
10,3,2,55551.54878858205
11,3,2,55551.54878858205
12,3,2,55551.54878858205
13,3,2,55664.45604865758
14,3,2,55664.45604865758
15,3,2,51582.38259593138
16,3,2,55664.45604865758
17,3,2,55551.54878858205
18,3,2,51582.38259593138
19,3,2,55551.54878858205
20,3,2,55551.54878858205
21,3,2,55664.45604865758
22,3,2,55551.54878858205
23,3,2,51582.38259593138
24,3,2,55551.54878858205
3,23,15

