index,hight,width,estimate
0,5,1,-8824.380202864673
1,5,1,-8824.380202864673
2,5,1,-8511.613832062532
3,5,1,-8511.613832062532
4,5,1,-8511.613832062532
5,5,1,-8511.613832062532
6,5,1,-8824.380202864673
7,5,1,-8824.380202864673
8,4,2,-8511.613803148723
9,4,2,-6630.293607742347
10,4,2,-6390.71619854565
11,4,2,-4450.470059954929
12,3,2,-5021.793628571133
13,4,2,-4450.470059954929
14,3,2,-4993.883643640044
15,4,2,-8511.613803148723
16,4,2,-8612.15356062991
17,4,2,-6924.567420681431
18,4,2,-6630.293607742347
19,4,2,-6924.567420681431
20,4,2,-6924.567420681431
21,3,2,-5021.793628571133
22,4,2,-6953.892037511365
23,4,2,-6953.892037511365
24,3,2,-5021.793628571133
25,4,2,-6359.264456054892
26,4,2,-4450.470059954929
27,4,2,-8612.15356062991
28,3,2,-6924.567395313546
29,3,2,-5021.793628571133
30,3,2,-4754.931892121052
31,4,2,-6359.264456054892
32,4,2,-4450.470059954929
33,3,2,-6924.567395313546
34,4,2,-6924.567420681431
35,4,2,-6390.71619854565
36,3,3,-4579.961209585026
37,3,3,-6359.264505079753
38,3,3,-6446.304091865359
39,3,3,-4579.961209585026
40,3,3,-3583.409554331698
41,3,3,-4579.961426173139
42,3,3,-6446.304091865359
43,3,3,-3583.409554331698
44,2,4,-4754.931674950061
0,6

