index,hight,width,estimate,root_children
0,6,2,5.5340232221128655e+19,2
1,5,2,5.5340232221128655e+19,2
2,5,2,5.5340232221128655e+19,2
3,5,2,4.611686018427388e+19,2
4,5,2,4.611686018427388e+19,2
5,5,2,4.611686018427388e+19,2
6,4,2,2.7670116110564327e+19,2
7,4,2,3.6893488147419103e+19,2
8,5,2,3.6893488147419103e+19,2
9,4,3,4.611686018427388e+19,2
10,4,3,4.611686018427388e+19,2
11,5,3,3.6893488147419103e+19,2
12,6,3,4.611686018427388e+19,2
13,3,3,2.7670116110564327e+19,3
14,4,3,2.7670116110564327e+19,2
15,4,3,2.7670116110564327e+19,2
16,4,3,1.8446744073709552e+19,3
17,4,3,1.8446744073709552e+19,3
18,4,3,2.7670116110564327e+19,3
19,3,4,2.7670116110564327e+19,4
0,6,2,5.5340232221128655e+19,2
