index,hight,width,estimate
0,6,2,23500200.03839322
1,6,2,25616652.727376588
2,6,2,23500100.038375776
3,7,2,23500200.038415328
4,7,2,600.0384315489472
5,6,2,23500200.03839322
6,5,2,25616652.72735448
7,7,2,600.0384315489629
8,7,2,49184007.9213032
9,5,2,23500100.038375776
10,5,2,49183807.88295229
11,4,2,23500000.00004231
12,4,2,25616452.689025678
13,5,2,23500000.000064418
14,5,2,400.0000806381131
15,4,2,300.000063190707
16,5,2,400.00008063812874
17,4,3,23500000.00004231
18,4,3,23499900.000024866
19,4,3,300.0000410860325
19,15
