index,hight,width,estimate
0,7,2,600.0001286286459
1,5,2,8760590.331613503
2,7,2,17253709.112278946
3,6,2,500.00008907654956
4,6,2,8760590.331635607
5,5,2,8484700.000072852
6,6,2,8484800.0000903
7,6,2,500.00011118122404
8,6,2,8484700.000072852
9,6,2,17253709.11225684
10,5,2,400.00008063812874
11,5,2,8484600.000064414
12,5,2,17253509.112230957
13,4,2,8760390.331587618
14,5,2,400.0000806381131
15,4,2,8484600.00004231
16,4,2,300.000063190707
17,4,3,300.0000410860325
18,4,3,8484500.000024863
19,4,3,300.0000410860325
17,19
