index,hight,width,estimate,root_children
0,5,2,4.611686018427388e+19,2
1,7,2,4.611686018427388e+19,2
2,5,3,4.611686018427388e+19,2
3,4,3,4.611686018427388e+19,2
4,4,3,4.611686018427388e+19,2
5,4,3,4.611686018427388e+19,2
6,5,3,4.611686018427388e+19,2
7,7,3,4.611686018427388e+19,2
8,5,3,4.611686018427388e+19,2
9,6,3,4.611686018427388e+19,2
10,5,3,2.7670116110564327e+19,3
11,4,3,2.7670116110564327e+19,3
12,4,3,2.7670116110564327e+19,3
13,5,3,2.7670116110564327e+19,3
14,5,3,2.7670116110564327e+19,3
15,5,3,2.7670116110564327e+19,3
16,5,3,2.7670116110564327e+19,3
17,5,3,2.7670116110564327e+19,3
18,4,4,2.7670116110564327e+19,4
19,4,4,2.7670116110564327e+19,4
18,4,4,2.7670116110564327e+19,4
