index,hight,width,estimate,root_children
0,6,2,7.378697629483821e+19,2
1,7,2,8.301034833169298e+19,2
2,6,2,7.378697629483821e+19,2
3,6,2,4.611686018427388e+19,2
4,6,3,7.378697629483821e+19,3
5,6,3,8.301034833169298e+19,2
6,6,3,8.301034833169298e+19,3
7,5,3,8.301034833169298e+19,3
8,5,3,7.378697629483821e+19,3
9,4,3,7.378697629483821e+19,3
10,6,3,3.6893488147419103e+19,2
11,6,3,3.6893488147419103e+19,2
12,5,3,4.611686018427388e+19,2
13,5,3,3.6893488147419103e+19,2
14,5,3,3.6893488147419103e+19,3
15,4,3,3.6893488147419103e+19,3
16,6,3,4.611686018427388e+19,3
17,5,4,8.301034833169298e+19,4
18,5,4,3.6893488147419103e+19,2
19,4,5,3.6893488147419103e+19,5
4,6,3,7.378697629483821e+19,3
