index,hight,width,estimate,root_children
0,6,2,5.5340232221128655e+19,2
1,6,2,5.5340232221128655e+19,2
2,6,2,5.5340232221128655e+19,2
3,6,2,5.5340232221128655e+19,2
4,7,2,6.456360425798343e+19,2
5,6,2,5.5340232221128655e+19,2
6,4,2,3.6893488147419103e+19,2
7,4,2,3.6893488147419103e+19,2
8,5,2,4.611686018427388e+19,2
9,4,2,2.7670116110564327e+19,2
10,6,3,4.611686018427388e+19,2
11,4,3,3.6893488147419103e+19,2
12,4,3,4.611686018427388e+19,2
13,5,3,4.611686018427388e+19,2
14,4,3,2.7670116110564327e+19,3
15,4,3,3.6893488147419103e+19,3
16,4,3,2.7670116110564327e+19,2
17,3,3,2.7670116110564327e+19,3
18,4,3,2.7670116110564327e+19,3
19,4,4,2.7670116110564327e+19,4
19,4,4,2.7670116110564327e+19,4
