index,hight,width,estimate,root_children
0,7,2,5.5340232221128655e+19,2
1,6,2,4.611686018427388e+19,2
2,6,2,5.5340232221128655e+19,2
3,5,2,5.5340232221128655e+19,2
4,4,2,5.5340232221128655e+19,2
5,6,2,4.611686018427388e+19,2
6,6,2,4.611686018427388e+19,2
7,6,2,5.5340232221128655e+19,2
8,6,2,5.5340232221128655e+19,2
9,5,2,5.5340232221128655e+19,2
10,7,2,5.5340232221128655e+19,2
11,5,2,5.5340232221128655e+19,2
12,6,2,4.611686018427388e+19,2
13,5,2,5.5340232221128655e+19,2
14,5,2,2.7670116110564327e+19,2
15,5,2,2.7670116110564327e+19,2
16,4,2,2.7670116110564327e+19,2
17,5,2,4.611686018427388e+19,2
18,5,2,4.611686018427388e+19,2
19,5,3,5.5340232221128655e+19,3
20,5,3,4.611686018427388e+19,3
21,4,3,4.611686018427388e+19,3
22,5,3,5.5340232221128655e+19,3
23,6,3,5.5340232221128655e+19,3
24,6,3,5.5340232221128655e+19,3
25,5,3,5.5340232221128655e+19,3
26,5,3,4.611686018427388e+19,3
27,5,3,2.7670116110564327e+19,2
28,5,2,2.7670116110564327e+19,2
29,4,3,1.8446744073709552e+19,2
30,4,3,2.7670116110564327e+19,3
31,3,3,1.8446744073709552e+19,3
32,4,3,1.8446744073709552e+19,3
33,4,3,1.8446744073709552e+19,3
34,4,3,1.8446744073709552e+19,2
35,4,2,1.8446744073709552e+19,2
36,4,3,2.7670116110564327e+19,3
37,3,3,1.8446744073709552e+19,3
38,3,4,1.8446744073709552e+19,4
39,4,4,1.8446744073709552e+19,2
0,7,2,5.5340232221128655e+19,2
