index,hight,width,estimate
0,5,2,1071671709.3468577
1,5,2,155119222.3361025
2,7,2,75446654.77804798
3,5,2,614735017.2546413
4,6,3,75446653.77804796
5,5,3,412822614.12409806
6,5,3,662412210.3468567
7,4,3,197615017.25464123
8,4,3,197615017.25464123
9,4,3,35649552.20000097
10,4,3,317.043781956171
11,5,3,16365960.668775076
12,4,3,317.0437819588048
13,4,3,20222630.000134222
14,4,3,3856986.375141107
15,4,3,16365860.66867918
16,5,3,3857086.3752370025
17,5,3,3857086.3752472326
18,5,3,16365960.66878119
19,4,4,20222630.00014445
10,12
