index,hight,width,estimate
0,5,2,1703657096.7496665
1,6,2,160563387.3436073
2,6,2,1046546598.2702078
3,6,2,1617946096.241071
4,7,2,1877419407.065708
5,4,2,701.1800252073658
6,5,3,273070878.49191713
7,6,3,347797524.43761504
8,5,3,13597267.666705571
9,7,3,1268914512.5609016
10,4,3,36147801.17996892
11,4,3,36327566.666727096
12,4,3,36147801.17996892
13,5,3,36147501.179394014
14,4,3,601.1799689200127
15,6,3,180566.66706092024
16,6,3,180566.66706415583
17,5,4,347977589.9249481
18,4,4,180766.66735984615
19,4,4,36327566.666727096
14,5
