index,hight,width,estimate
0,6,2,500.0006235006068
1,6,2,23500200.000624724
2,6,2,500.0006456052813
3,7,2,49184007.8835347
4,6,2,25616652.68960809
5,7,2,23500200.00064683
6,6,2,49184007.883512594
7,7,2,600.0006630526873
8,6,2,23500100.00060728
9,5,2,23500100.00060728
10,5,2,400.00008063812874
11,4,2,23500000.00004231
12,4,2,25616452.689025678
13,5,2,49183807.88295229
14,5,2,23500000.000064418
15,4,2,300.000063190707
16,5,2,400.0000806381131
17,3,3,23499900.000024866
18,4,3,300.0000410860325
19,4,3,23499900.000024866
18,15
