index,hight,width,estimate
0,5,3,20392919.04261493
1,6,3,26803251.577479143
2,6,3,7489512.429238137
3,5,3,27341288.372608494
4,5,3,542449.1931758822
5,6,3,20395049.155189503
6,6,4,1332339755.1379077
7,5,4,7338111.436215867
8,5,4,27340608.93637239
9,6,4,26801186.110746883
10,5,4,19852580.764823057
11,4,4,7490137.869851468
12,5,4,7489393.498128284
13,4,4,20393480.764823027
14,6,4,19854149.155189503
15,5,5,27340606.69581472
16,5,5,6947929.75244436
17,6,5,26801276.325310066
18,5,5,1325388521.5781388
19,4,5,19852580.764823027
4,16
