index,hight,width,estimate
0,8,3,747726941027.3044
1,6,3,13486288.140744818
2,7,3,5002088.140783145
3,5,4,15062956.779521015
4,5,4,286040573620.9161
5,6,4,747650394277.4543
6,5,4,747472827485.4066
7,5,4,28548456.727811422
8,5,4,28548456.727811422
9,5,4,13486116.946862692
10,4,4,28548356.727556102
11,4,4,33869503.725822575
12,5,5,13485817.286552655
13,6,5,747645393176.4543
14,6,5,101879956.33081351
15,5,5,13486116.946862692
16,5,5,15063056.727594428
17,5,6,286044056719.91626
18,4,6,23547256.727556102
19,4,7,747476310584.4066
2,12
