index,hight,width,estimate
0,5,3,18.760286526588242
1,5,3,49.91556214898369
2,7,3,14.453998802519349
3,5,3,20.139135767661916
4,6,3,45.6092744249148
5,7,3,15.832848043593025
6,6,3,19.58679899190823
7,6,3,18.20794975083455
8,6,3,18.20794975083455
9,6,3,19.58679899190823
10,6,3,35.06481051539994
11,5,3,9.315777969497889
12,5,3,9.315777969497889
13,6,3,25.408714474774676
14,5,3,49.3632344094866
15,5,3,19.586799015037226
16,5,3,19.586799015037226
17,5,3,7.0937813589870995
18,5,3,17.44492554238688
19,5,3,7.0937813589870995
20,6,3,25.408714474774676
21,5,3,17.44492554238688
22,6,3,35.06481051539994
23,5,3,49.3632344094866
24,5,4,11.46897379624728
25,4,4,49.7383353108743
26,6,4,31.92578452910888
27,5,4,11.291746958137878
28,7,4,15.655621205483625
29,5,4,31.74856672725608
30,6,4,37.218005589285944
31,5,4,19.961908929552518
32,5,4,15.83284319379362
33,5,4,15.655624662579685
34,6,4,45.432047586805396
35,5,4,18.58305968847884
36,7,4,14.27677196440995
37,5,4,37.04077875117654
38,5,4,15.22292474456248
39,5,4,17.26769870427748
40,4,4,19.586798972147296
41,6,4,34.88758367729054
42,5,4,19.409581170294494
43,5,4,6.9165545208777
44,5,4,49.18601656474387
45,4,4,15.22292474456248
46,6,4,19.409572153798827
47,4,4,19.586789978780622
48,5,4,40.97195803975452
49,6,4,25.23148763666528
50,5,4,19.586798285676085
51,6,4,18.03072291272515
52,5,4,15.22292474456248
53,5,4,9.138551131388487
54,4,4,15.22292474456248
55,5,4,35.67972648405741
56,5,4,40.97195729046454
57,5,4,19.586794142108822
58,5,4,35.67973547742408
59,4,5,31.57134888251335
60,5,5,11.114520120028478
61,6,5,37.04077875117654
62,5,5,21.56277699704388
63,5,5,11.291746958137878
64,4,5,21.739994798896678
65,5,5,15.65561635568422
66,6,5,31.74856668436615
67,5,5,15.47840196803755
68,4,5,36.86355191306714
69,5,5,40.79473120164512
70,5,5,19.40957559113395
71,5,5,35.502508639314684
72,5,5,15.045697906453078
73,4,5,15.045697906453078
74,4,5,25.49394574721188
75,4,5,19.409572134037894
76,4,5,25.493936753845208
77,4,6,21.56277695415395
78,4,6,21.385559152301152
79,4,6,25.31671890910248
60,27,63,24
43,17,19,53
