index,hight,width,estimate
0,5,3,30.311761730767138
1,7,3,28.416034310978336
2,5,3,102.67185334001994
3,6,3,100.77612592023114
4,7,3,66.81808091342913
5,5,3,68.71380833321793
6,4,3,62.00831161849914
7,5,3,34.795257647661536
8,4,3,28.050266611697136
9,6,3,32.53376252859154
10,4,3,62.00831161849914
11,4,3,28.050266611697136
12,5,3,30.272267409521536
13,5,3,30.311761730767138
14,5,3,28.050266611697136
15,6,3,64.23031241632353
16,5,3,28.050266611697136
17,5,3,30.311761730767138
18,5,3,30.272267409521536
19,5,3,34.795257647661536
20,6,3,32.53376252859154
21,6,3,64.23031241632353
22,5,4,45.10778015009354
23,5,4,30.311761730767138
24,5,4,28.416034310978336
25,7,4,0.7746198009939911
26,5,4,66.49180753539353
27,6,4,77.17009773710673
28,7,4,43.21205273030474
29,4,4,79.06582515689553
30,5,4,32.53376252859154
31,5,4,30.638035108802736
32,6,4,64.59608011560474
33,5,4,6.705733547642734
34,5,4,66.49180753539353
35,6,4,64.59608011560474
36,5,4,62.00831161849914
37,4,4,25.828265813872736
38,4,4,25.828265813872736
39,4,4,25.828265813872736
40,4,4,28.050266611697136
41,4,4,6.705733547642734
42,5,4,8.927734345467135
43,3,4,1.017563415513191
44,4,4,25.828265813872736
45,5,4,30.311761730767138
46,4,4,25.828265813872736
47,5,4,40.62428423319914
48,4,4,6.666239226397134
49,5,4,28.050266611697136
50,5,4,62.00831161849914
51,3,4,2.493420650443591
52,4,4,25.828265813872736
53,4,4,28.050266611697136
54,5,4,28.050266611697136
55,4,4,11.189229464537135
56,4,4,38.402283435374734
57,4,4,1.017563415513191
58,5,4,30.311761730767138
59,5,5,30.311761730767138
60,5,5,0.7746198009939911
61,4,5,42.88577935226914
62,6,5,40.99005193248034
63,5,5,6.705733547642734
64,6,5,40.99005193248034
65,4,5,42.88577935226914
66,5,5,7.032006925678334
67,5,5,8.927734345467135
68,4,5,28.416034310978336
69,4,5,1.017563415513191
70,5,5,6.705733547642734
71,4,5,25.828265813872736
72,5,5,38.402283435374734
73,4,5,1.017563415513191
74,4,5,25.828265813872736
75,3,5,2.493420650443591
76,4,5,2.493420650443591
77,4,6,6.705733547642734
78,4,6,0.7746198009939911
79,4,6,2.493420650443591
25,60,78,33
57,69,73,43
