index,hight,width,estimate
0,5,3,3.968964768872391
1,6,3,3.968947373511191
2,5,3,3.969069141039591
3,6,3,3.968947373511191
4,5,3,3.968964768872391
5,6,3,3.968947373511191
6,5,3,3.969069141039591
7,5,3,3.969069141039591
8,5,3,3.969069141039591
9,6,3,3.969051745678391
10,6,3,3.969051745678391
11,5,3,3.968843001343991
12,6,3,3.968947373511191
13,5,3,3.969069141039591
14,5,3,3.968964768872391
15,5,3,6.030746439502168
16,5,3,3.969069141039591
17,4,3,6.030903578711368
18,4,3,3.969086536400791
19,5,3,6.030746439502168
20,5,3,3.969069141039591
21,5,4,3.969051745678391
22,4,4,3.969086536400791
23,5,4,3.969051745678391
24,4,4,6.030589300292968
25,4,4,3.969086536400791
26,4,4,6.030746439502168
27,4,4,6.030589300292968
28,4,4,3.969069141039591
29,4,4,6.030746439502168
30,4,4,6.030589300292968
31,3,5,6.030589300292968
11,1,5,12
14,13,20,16
