index,hight,width,estimate
0,7,2,177.58430436986856
1,6,2,113.59017330908274
2,7,2,177.58430436986856
3,6,2,310.01656808708896
4,6,2,182.02830596551738
5,6,2,113.59017330908274
6,7,2,182.02830596551738
7,6,2,310.01656808708896
8,7,2,248.13902360462257
9,5,2,179.70089094818798
10,6,2,310.01656808708896
11,6,2,177.58430436986856
12,5,2,250.25561018294198
13,4,2,113.59017330908274
14,4,2,6.666160282089157
15,4,2,267.08668612088115
16,5,2,134.65442240366076
17,5,2,139.09842399930957
18,5,2,207.32572821673418
19,5,2,177.58430436986856
20,6,3,111.36817251125835
21,6,3,118.03417490473154
22,5,3,310.01656808708896
23,4,3,267.08668612088115
24,4,3,111.36817251125835
25,3,3,209.44231479505356
26,4,3,134.65442240366076
27,3,3,138.88759556029956
28,4,3,11.110161877737957
29,4,3,267.08668612088115
30,4,3,75.10429293852376
31,3,4,267.08668612088115
20,5,1,21
14,28,30,24
