index,hight,width,estimate
0,8,2,0.2720499561686083
1,7,2,8.812099229914404
2,6,2,7.940917199718172
3,8,2,0.3019525820714084
4,7,2,8.296823589055071
5,7,2,2.31859588036341
6,7,2,0.13311881003298032
7,6,2,0.13310141467178038
8,8,2,7.429068251521604
9,6,2,1.8267603634186083
10,7,2,8.812099229914404
11,8,2,8.505939670656405
12,6,2,7.940917199718172
13,7,2,1.03018181236461
14,8,2,0.7937880990162101
15,5,2,8.026534133255405
16,7,2,0.45154089679898046
17,8,2,0.2720499561686083
18,5,2,0.9733147559929805
19,5,2,8.026534133255405
20,6,2,10.23661628665737
21,7,2,9.291504767315404
22,7,2,2.3186315967098086
23,7,2,9.291504767315404
24,6,2,0.2198710969462101
25,7,2,1.370135356839639
26,7,2,6.001124502115871
27,7,2,6.001124502115871
28,6,2,0.13310141467178038
29,8,2,0.6548926692269803
30,7,2,10.465338241552203
31,7,2,10.944743778953203
32,8,2,6.949662714120604
33,6,2,6.516400142975204
34,6,2,1.7968577375158086
35,6,2,6.720940759225772
36,7,2,9.246484383879604
37,6,2,1.7968577375158086
38,6,2,1.1122459021286084
39,6,2,0.30195258207140885
40,8,2,8.505939670656405
41,8,2,7.384047868085804
42,6,2,2.6071510575730086
43,8,2,0.5904720429346084
44,7,2,7.429094441389804
45,6,2,6.516400142975204
46,7,2,8.169639154613005
47,6,2,0.8782641235484392
48,6,2,1.50828516494501
49,7,2,9.246484383879604
50,6,2,2.1152798242818083
51,5,2,9.679773144893204
52,7,2,0.16302143593578045
53,6,2,1.8267603634186083
54,8,2,10.159178682294204
55,5,2,2.6370536834758083
56,7,2,8.169639154613005
57,6,2,2.1152798242818083
58,6,2,6.1640976174616045
59,9,2,6.6435031548626045
60,9,2,0.7938238153626083
61,7,2,10.899723395517404
62,7,2,7.429094441389804
63,5,2,1.030199974248391
64,5,2,1.840493294305591
65,5,2,1.607238895974791
66,6,2,7.240984353460075
67,6,2,1.6339840449762097
68,6,2,1.8542254586699927
69,6,2,1.40003790319173
70,5,2,1.607238895974791
71,6,2,2.129012755168791
72,6,2,7.031826765126871
73,6,2,1.551973833442391
74,5,2,9.01662605443676
75,6,2,1.6339840449762097
76,6,2,1.551973833442391
77,6,2,1.11151844232853
78,5,2,1.0576643029771944
79,6,2,3.1588099882071905
80,6,2,1.11151844232853
81,6,2,2.3485166681499905
82,6,2,3.1588099882071905
83,6,2,8.894223365097874
84,6,2,2.129012755168791
85,5,2,1.840493294305591
86,6,2,1.40003790319173
87,6,2,1.8542254586699927
88,6,2,1.11151844232853
89,5,2,0.31567651156720977
90,5,2,1.0576643029771944
91,5,2,0.31567651156720977
92,6,2,7.240984353460075
93,6,3,0.30195258207140885
94,5,3,3.158853172899609
95,7,3,1.0439139767290118
96,5,3,8.812099229914404
97,4,3,2.9255731443390083
98,7,3,6.001110710387658
99,7,3,1.0438965813678118
100,5,3,3.1289423121282085
101,7,3,0.1630040405745805
102,6,3,1.8267603634186083
103,7,3,3.1289249167670086
104,8,3,2.3186232822904986
105,7,3,1.4000553781036391
106,7,3,2.6370710788370086
107,5,3,2.9255813792076095
108,5,3,3.1587735053382113
109,7,3,7.134651230402297
110,6,3,1.796831181662009
111,5,3,0.7938155009432988
112,7,3,0.4515235014377801
113,6,3,1.1121744694358116
114,8,3,6.6435031548626045
115,6,3,2.6071684529342085
116,5,3,3.44729389182541
117,5,3,2.9255905397002087
118,8,3,6.949688903988804
119,6,3,1.8267072517110097
120,6,3,0.8236724039338115
121,6,3,1.891926611394839
122,8,3,0.3970388513116392
123,8,3,7.429094441389804
124,6,3,6.700266076437098
125,6,3,0.16302143593578045
126,6,3,0.8237438366266083
127,7,3,2.3186315967098086
128,6,3,3.128933151635609
129,5,3,2.9255731443390083
130,8,3,6.643476964994404
131,6,3,0.16302143593578045
132,6,3,3.12888920042061
133,6,3,7.817338088461246
134,4,3,1.8267603634186083
135,5,3,1.6340014403374097
136,4,3,2.925501711646212
137,7,3,0.7937523826698114
138,6,3,3.4473817942554086
139,7,3,0.7938412107238082
140,5,3,6.949662714120604
141,4,3,2.92553742799261
142,6,3,0.5904189312270098
143,5,3,2.6071684529342085
144,7,3,6.001110710387658
145,6,3,2.210348698160839
146,5,3,1.6339483286298115
147,6,3,2.210348698160839
148,7,3,0.5904720429346084
149,6,3,2.3185775593782116
150,5,3,3.128933151635609
151,4,3,0.4515235014377801
152,6,3,0.7938155009432988
153,6,3,0.6548926692269803
154,6,3,1.0439139767290118
155,5,3,6.373295121617603
156,8,3,1.1122459021286084
157,5,3,0.6847952951297804
158,7,3,6.852700659018603
159,7,3,7.384047868085804
160,7,3,6.949662714120604
161,6,3,3.4473817942554086
162,6,3,2.607124501719209
163,6,3,2.3186489920710085
164,6,3,1.891909216033639
165,7,3,0.2580894637415221
166,5,3,3.447355238401609
167,6,3,3.1587735053382113
168,6,3,0.23360326131061182
169,5,3,0.45154089679898046
170,6,3,7.920242516929497
171,7,3,2.3185694040603195
172,6,3,0.8782641235484392
173,6,3,2.210348698160839
174,6,3,0.2720416417492988
175,7,3,2.31857848500221
176,5,3,3.1289157562744094
177,6,3,1.8542246921474117
178,5,3,6.949688903988804
179,5,3,6.1640976174616045
180,8,3,0.27199684446101013
181,5,3,2.3484801852810113
182,5,3,1.5794200002874135
183,5,3,2.403772729291209
184,6,3,0.5904720429346084
185,6,3,1.1122632974898083
186,6,3,7.158860218276603
187,7,3,2.607124501719209
188,4,3,2.6370536834758083
189,6,3,2.1152532684280096
190,5,3,2.9255813792076095
191,7,3,0.9733321513541804
192,7,3,2.318605040856009
193,7,3,2.6507858478402104
194,6,3,1.5934976506684988
195,5,3,3.15879182632341
196,7,3,0.6548752738657804
197,6,3,2.63700057176821
198,5,3,0.8236550085726115
199,7,3,3.1288708794354116
200,7,3,3.96910254174181
201,7,3,1.6339923593955197
202,4,3,2.92552003263141
203,8,3,2.3186315967098086
204,8,3,7.240916656860004
205,5,3,2.6071592924416094
206,5,3,1.6340105212793006
207,4,3,3.15879182632341
208,4,3,3.1587561099770114
209,6,3,0.6548926692269803
210,5,3,3.158756109977012
211,6,3,0.7937972595088096
212,6,3,2.1152798242818083
213,8,3,0.7937707036550101
214,5,3,1.6339483286298115
215,6,3,1.8267603634186083
216,4,3,2.9255731443390083
217,7,3,2.6370710788370086
218,5,3,8.460893097352404
219,6,3,2.63701796712941
220,7,3,1.6340545520450083
221,7,3,0.7937880990162101
222,6,3,0.23360326131061182
223,5,3,1.6885400482444393
224,6,3,0.013397404861810625
225,5,3,2.4037992851450083
226,4,3,3.96910254174181
227,6,3,2.6507949287821004
228,5,3,7.031880538451495
229,7,3,6.001056871289416
230,6,3,2.9255731443390083
231,7,3,2.9255813792076095
232,5,3,1.1667835844116392
233,6,3,7.920242516929497
234,6,3,1.891909216033639
235,7,3,7.817338088461246
236,6,3,0.5904720429346084
237,8,3,2.6370710788370086
238,6,3,0.7937880990162101
239,7,3,0.6548752738657804
240,7,3,2.6071592924416094
241,7,3,1.1122193462748093
242,6,3,0.7938328963044987
243,8,3,8.026507943387204
244,6,3,0.45154089679898046
245,6,3,1.891909216033639
246,6,3,2.60709794586541
247,5,3,2.1152532684280096
248,4,3,2.925546588485209
249,4,3,3.969066825395412
250,5,3,6.700266076437098
251,4,3,2.6370536834758083
252,6,3,6.949688903988804
253,7,3,2.6370710788370086
254,4,3,3.4473817942554086
255,6,3,2.6071510575730086
256,6,3,3.447337843040409
257,7,3,0.8236907249190097
258,7,3,1.03016441700341
259,8,3,6.6435031548626045
260,6,3,2.1152798242818083
261,4,3,0.45154089679898046
