index,hight,width,estimate
0,5,2,19.577845308688293
1,6,2,14.281017143192615
2,5,2,12.571377466920882
3,5,2,12.571377466920882
4,5,2,17.264359604473622
5,6,2,11.967531438977943
6,5,2,11.967531438977943
7,5,2,12.571377466920882
8,6,2,19.577845308688293
9,5,2,14.281017143192615
10,6,2,17.264359604473622
11,5,2,12.571377466920882
12,5,2,2.4326555966693277
13,5,2,2.833729404910461
14,5,2,7.0067077266199975
15,5,2,2.4326223998109633
16,5,2,7.0067048759206205
17,5,2,2.8336981014921463
18,5,3,14.280964763456215
19,4,3,19.577792928951894
20,4,3,14.280964763456215
21,5,3,19.577792928951894
22,4,3,8.716292172455953
23,4,3,9.320138200398892
24,4,3,1.2970764144898963
25,4,3,9.320138200398892
26,4,3,9.320138200398892
27,4,3,8.716347402891731
28,4,3,8.716297873854709
29,4,3,1.2970764144898963
30,4,3,1.2971444020706615
31,3,4,11.029882636143427
5,6,3,11
24,29,30,15
