index,hight,width,estimate
0,7,2,296.0654086260264
1,6,2,182.02830596551738
2,6,2,177.58430436986856
3,7,2,248.13902360462257
4,5,2,248.03360938511756
5,6,2,310.01656808708896
6,6,2,310.01656808708896
7,6,2,113.59017330908274
8,6,2,310.01656808708896
9,6,2,115.81217410690715
10,7,2,182.02830596551738
11,5,2,250.25561018294198
12,7,2,177.58430436986856
13,4,2,113.59017330908274
14,4,2,267.08668612088115
15,5,2,134.65442240366076
16,5,2,286.73031819468656
17,4,2,8.888161079913555
18,5,2,139.09842399930957
19,5,2,207.32572821673418
20,6,3,118.03417490473154
21,6,3,111.36817251125835
22,5,3,310.01656808708896
23,4,3,134.65442240366076
24,3,3,209.44231479505356
25,4,3,267.08668612088115
26,4,3,111.36817251125835
27,3,3,207.22031399722917
28,4,3,11.110161877737957
29,4,3,75.10429293852376
30,4,3,267.08668612088115
31,3,4,267.08668612088115
21,7,9,20
17,28,29,26
