index,hight,width,estimate
0,4,2,0.0
1,5,2,0.0
2,6,2,0.0
3,5,2,0.0
4,6,2,0.0
5,6,2,0.0
6,5,2,0.0
7,5,2,0.0
8,5,2,0.0
9,5,2,0.0
10,5,2,0.0
11,5,2,0.0
12,4,2,0.0
13,6,2,0.0
14,5,2,0.0
15,5,2,0.0
16,5,2,0.0
17,5,2,0.0
18,4,2,0.0
19,5,2,0.0
20,4,2,0.0
21,5,2,0.0
22,4,2,0.0
23,5,2,0.0
24,5,2,0.0
25,5,2,0.0
26,5,2,0.0
27,4,2,0.0
28,5,2,0.0
29,4,2,0.0
30,5,2,0.0
31,5,2,0.0
32,4,2,0.0
33,6,2,0.0
34,6,2,0.0
35,5,2,0.0
36,5,2,0.0
37,5,2,0.0
38,4,2,0.0
39,4,2,0.0
40,5,2,0.0
41,4,2,0.0
42,5,2,0.0
43,5,2,0.0
44,4,2,0.0
45,6,2,0.0
46,5,2,0.0
47,5,2,0.0
48,6,2,0.0
49,5,2,0.0
50,6,2,0.0
51,6,2,0.0
52,5,2,0.0
53,5,2,0.0
54,4,2,0.0
55,4,2,0.0
56,4,2,0.0
57,5,2,0.0
58,4,2,0.0
59,5,2,0.0
60,5,2,0.0
61,6,2,0.0
62,4,2,0.0
63,4,2,0.0
64,5,2,0.0
65,4,2,0.0
66,4,2,0.0
67,4,2,0.0
68,5,2,0.0
69,6,2,0.0
70,5,2,0.0
71,5,2,0.0
72,5,2,0.0
73,4,2,0.0
74,4,2,0.0
75,5,2,0.0
76,5,2,0.0
77,5,2,0.0
78,4,2,0.0
79,5,3,0.0
80,4,3,0.0
81,4,3,0.0
82,4,3,0.0
83,3,3,0.0
84,4,3,0.0
85,3,3,0.0
86,4,3,0.0
87,4,3,0.0
88,4,3,0.0
89,3,3,0.0
90,3,3,0.0
91,4,3,0.0
92,4,3,0.0
93,5,3,0.0
94,3,3,0.0
95,4,3,0.0
96,5,3,0.0
97,4,3,0.0
98,4,3,0.0
99,4,3,0.0
100,4,3,0.0
101,3,3,0.0
102,5,3,0.0
103,4,3,0.0
104,4,3,0.0
105,4,3,0.0
106,4,3,0.0
107,5,3,0.0
108,4,3,0.0
109,4,3,0.0
110,4,3,0.0
111,4,3,0.0
112,5,3,0.0
113,4,3,0.0
114,3,3,0.0
115,4,3,0.0
116,4,3,0.0
117,4,3,0.0
118,3,3,0.0
119,4,3,0.0
120,4,3,0.0
121,4,3,0.0
122,3,3,0.0
123,4,3,0.0
124,3,4,0.0
125,3,4,0.0
126,3,4,0.0
127,3,4,0.0
2,5
77,75
