index,hight,width,estimate
0,7,2,0.0
1,7,2,0.0
2,5,2,0.0
3,6,2,0.0
4,7,2,0.0
5,6,2,0.0
6,6,2,0.0
7,7,2,0.0
8,5,2,0.0
9,6,2,0.0
10,6,2,0.0
11,5,2,0.0
12,7,2,0.0
13,5,2,0.0
14,6,2,0.0
15,5,2,0.0
16,7,2,0.0
17,6,2,0.0
18,7,2,0.0
19,6,2,0.0
20,7,2,0.0
21,7,2,0.0
22,7,2,0.0
23,6,2,0.0
24,7,2,0.0
25,5,2,0.0
26,6,2,0.0
27,7,2,0.0
28,7,2,0.0
29,6,2,0.0
30,6,2,0.0
31,7,2,0.0
32,7,2,0.0
33,7,2,0.0
34,7,2,0.0
35,7,2,0.0
36,7,2,0.0
37,6,2,0.0
38,6,2,0.0
39,7,2,0.0
40,7,2,0.0
41,6,2,0.0
42,7,2,0.0
43,6,2,0.0
44,6,2,0.0
45,6,2,0.0
46,6,2,0.0
47,6,2,0.0
48,7,2,0.0
49,7,2,0.0
50,7,2,0.0
51,6,2,0.0
52,5,2,0.0
53,7,2,0.0
54,6,2,0.0
55,6,2,0.0
56,7,2,0.0
57,7,2,0.0
58,6,2,0.0
59,6,2,0.0
60,7,2,0.0
61,7,2,0.0
62,5,2,0.0
63,7,2,0.0
64,6,2,0.0
65,6,2,0.0
66,6,2,0.0
67,5,2,0.0
68,6,2,0.0
69,7,2,0.0
70,6,2,0.0
71,7,2,0.0
72,5,2,0.0
73,6,2,0.0
74,7,2,0.0
75,6,2,0.0
76,7,2,0.0
77,6,2,0.0
78,7,2,0.0
79,6,2,0.0
80,6,2,0.0
81,7,2,0.0
82,6,2,0.0
83,7,2,0.0
84,6,2,0.0
85,5,2,0.0
86,7,2,0.0
87,6,2,0.0
88,7,2,0.0
89,6,2,0.0
90,7,2,0.0
91,7,2,0.0
92,7,2,0.0
93,6,2,0.0
94,6,2,0.0
95,7,2,0.0
96,7,2,0.0
97,5,2,0.0
98,6,2,0.0
99,7,2,0.0
100,6,2,0.0
101,7,2,0.0
102,7,2,0.0
103,7,2,0.0
104,6,2,0.0
105,7,2,0.0
106,6,2,0.0
107,7,2,0.0
108,5,2,0.0
109,7,2,0.0
110,7,2,0.0
111,7,2,0.0
112,5,2,0.0
113,6,2,0.0
114,6,2,0.0
115,5,2,0.0
116,7,2,0.0
117,7,2,0.0
118,6,2,0.0
119,7,2,0.0
120,7,2,0.0
121,6,2,0.0
122,7,2,0.0
123,6,2,0.0
124,5,2,0.0
125,6,2,0.0
126,6,2,0.0
127,5,2,0.0
128,7,2,0.0
129,5,2,0.0
130,6,2,0.0
131,6,2,0.0
132,6,2,0.0
133,6,2,0.0
134,6,2,0.0
135,7,2,0.0
136,6,2,0.0
137,7,2,0.0
138,6,2,0.0
139,6,2,0.0
140,6,2,0.0
141,7,2,0.0
142,6,2,0.0
143,6,2,0.0
144,5,2,0.0
145,6,2,0.0
146,6,2,0.0
147,7,2,0.0
148,7,2,0.0
149,6,2,0.0
150,6,2,0.0
151,7,2,0.0
152,7,2,0.0
153,6,2,0.0
154,7,2,0.0
155,5,2,0.0
156,6,2,0.0
157,5,2,0.0
158,6,2,0.0
159,7,2,0.0
160,5,2,0.0
161,6,2,0.0
162,7,2,0.0
163,5,2,0.0
164,5,2,0.0
165,7,2,0.0
166,6,2,0.0
167,7,2,0.0
168,6,2,0.0
169,6,2,0.0
170,6,2,0.0
171,6,2,0.0
172,6,2,0.0
173,6,2,0.0
174,7,3,0.0
175,5,3,0.0
176,4,3,0.0
177,6,3,0.0
178,6,3,0.0
179,4,3,0.0
180,5,3,0.0
181,6,3,0.0
182,5,3,0.0
183,7,3,0.0
184,6,3,0.0
185,6,3,0.0
186,5,3,0.0
187,6,3,0.0
188,4,3,0.0
189,5,3,0.0
190,4,3,0.0
191,5,3,0.0
192,5,3,0.0
193,5,3,0.0
194,6,3,0.0
195,5,3,0.0
196,6,3,0.0
197,7,3,0.0
198,5,3,0.0
199,7,3,0.0
200,5,3,0.0
201,4,3,0.0
202,4,3,0.0
203,5,3,0.0
204,5,3,0.0
205,5,3,0.0
206,6,3,0.0
207,6,3,0.0
208,6,3,0.0
209,6,3,0.0
210,4,3,0.0
211,5,3,0.0
212,5,3,0.0
213,5,3,0.0
214,5,3,0.0
215,6,3,0.0
216,6,3,0.0
217,6,3,0.0
218,6,3,0.0
219,6,3,0.0
220,5,3,0.0
221,6,3,0.0
222,7,3,0.0
223,4,3,0.0
224,5,3,0.0
225,5,3,0.0
226,4,3,0.0
227,6,3,0.0
228,6,3,0.0
229,6,3,0.0
230,5,3,0.0
231,6,3,0.0
232,6,3,0.0
233,5,3,0.0
234,4,3,0.0
235,5,3,0.0
236,4,3,0.0
237,6,3,0.0
238,5,3,0.0
239,4,3,0.0
240,5,3,0.0
241,4,3,0.0
242,6,3,0.0
243,6,3,0.0
244,6,3,0.0
245,6,3,0.0
246,6,3,0.0
247,4,3,0.0
248,7,3,0.0
249,5,3,0.0
250,7,3,0.0
251,6,3,0.0
252,6,3,0.0
253,7,3,0.0
254,5,3,0.0
255,6,3,0.0
256,6,3,0.0
257,5,3,0.0
258,6,3,0.0
259,6,3,0.0
260,7,3,0.0
261,6,3,0.0
262,5,3,0.0
263,5,3,0.0
264,5,3,0.0
265,7,3,0.0
266,6,3,0.0
267,5,3,0.0
268,6,3,0.0
269,4,3,0.0
270,5,3,0.0
271,5,3,0.0
272,5,3,0.0
273,5,3,0.0
274,6,3,0.0
275,4,3,0.0
276,5,3,0.0
277,5,3,0.0
278,5,3,0.0
279,4,3,0.0
280,5,3,0.0
281,4,3,0.0
282,4,3,0.0
283,6,3,0.0
284,4,3,0.0
285,6,3,0.0
286,4,3,0.0
287,4,3,0.0
288,7,3,0.0
289,5,3,0.0
290,6,3,0.0
291,5,3,0.0
292,4,3,0.0
293,6,3,0.0
294,5,3,0.0
295,5,3,0.0
296,6,3,0.0
297,6,3,0.0
298,5,3,0.0
299,6,3,0.0
300,6,3,0.0
301,6,3,0.0
302,5,3,0.0
303,5,3,0.0
304,6,3,0.0
305,5,3,0.0
306,6,3,0.0
307,5,3,0.0
308,6,3,0.0
309,6,3,0.0
310,6,3,0.0
311,5,3,0.0
312,7,3,0.0
313,5,3,0.0
314,6,3,0.0
315,5,3,0.0
316,7,3,0.0
317,5,3,0.0
318,6,3,0.0
319,5,3,0.0
320,5,3,0.0
321,5,3,0.0
322,6,3,0.0
323,5,3,0.0
324,5,3,0.0
325,6,3,0.0
326,6,3,0.0
327,5,3,0.0
328,6,3,0.0
329,5,3,0.0
330,7,3,0.0
331,5,3,0.0
332,6,3,0.0
333,6,3,0.0
334,5,3,0.0
335,5,3,0.0
336,5,3,0.0
337,7,3,0.0
338,5,3,0.0
339,5,3,0.0
340,6,3,0.0
341,5,3,0.0
342,5,3,0.0
343,5,3,0.0
344,5,3,0.0
345,4,3,0.0
346,5,3,0.0
347,6,3,0.0
348,6,3,0.0
349,4,3,0.0
350,6,3,0.0
351,6,3,0.0
352,6,3,0.0
353,5,3,0.0
354,5,3,0.0
355,6,3,0.0
356,6,3,0.0
357,5,3,0.0
358,5,3,0.0
359,5,3,0.0
360,5,3,0.0
361,4,3,0.0
362,6,3,0.0
363,5,3,0.0
364,5,3,0.0
365,6,3,0.0
366,5,3,0.0
367,7,3,0.0
368,6,3,0.0
369,5,3,0.0
370,6,3,0.0
371,6,3,0.0
372,6,3,0.0
373,6,3,0.0
374,6,3,0.0
375,6,3,0.0
376,6,3,0.0
377,5,3,0.0
378,5,3,0.0
379,7,3,0.0
380,6,3,0.0
381,6,3,0.0
382,7,3,0.0
383,5,3,0.0
384,7,3,0.0
385,7,3,0.0
386,5,3,0.0
387,6,3,0.0
388,5,3,0.0
389,5,3,0.0
390,5,3,0.0
391,5,3,0.0
392,6,3,0.0
393,5,3,0.0
394,5,3,0.0
395,6,3,0.0
396,5,3,0.0
397,6,3,0.0
398,6,3,0.0
399,5,3,0.0
400,5,3,0.0
401,5,3,0.0
402,6,3,0.0
403,6,3,0.0
404,5,3,0.0
405,4,3,0.0
406,5,3,0.0
407,5,3,0.0
408,6,3,0.0
409,6,3,0.0
410,4,3,0.0
411,6,3,0.0
412,6,3,0.0
413,6,3,0.0
414,6,3,0.0
415,7,3,0.0
416,5,3,0.0
417,5,3,0.0
418,7,3,0.0
419,7,3,0.0
420,4,3,0.0
421,5,3,0.0
422,5,3,0.0
423,6,3,0.0
424,6,3,0.0
425,6,3,0.0
426,5,3,0.0
427,7,3,0.0
428,6,3,0.0
429,5,3,0.0
430,6,3,0.0
431,5,3,0.0
432,6,3,0.0
433,7,3,0.0
434,5,3,0.0
435,7,3,0.0
436,5,3,0.0
437,6,3,0.0
438,4,3,0.0
439,6,3,0.0
440,5,3,0.0
441,6,3,0.0
442,4,3,0.0
443,5,3,0.0
444,6,3,0.0
445,6,3,0.0
446,5,3,0.0
447,6,3,0.0
448,5,3,0.0
449,5,3,0.0
450,5,3,0.0
451,5,3,0.0
452,5,3,0.0
453,6,3,0.0
454,5,3,0.0
455,5,3,0.0
456,6,3,0.0
457,5,3,0.0
458,4,3,0.0
459,4,3,0.0
460,6,3,0.0
461,6,3,0.0
462,5,3,0.0
463,7,3,0.0
464,6,3,0.0
465,6,3,0.0
466,4,3,0.0
467,5,3,0.0
468,6,3,0.0
469,5,3,0.0
470,6,3,0.0
471,6,3,0.0
472,5,3,0.0
473,5,3,0.0
474,5,3,0.0
475,5,3,0.0
476,5,3,0.0
477,5,3,0.0
478,6,3,0.0
479,6,3,0.0
480,6,3,0.0
481,5,3,0.0
482,5,3,0.0
483,5,3,0.0
484,5,3,0.0
485,5,3,0.0
486,6,3,0.0
487,6,3,0.0
488,6,3,0.0
489,6,3,0.0
490,5,3,0.0
491,6,3,0.0
492,5,3,0.0
493,5,3,0.0
494,5,3,0.0
495,6,3,0.0
496,5,3,0.0
497,6,3,0.0
498,4,3,0.0
499,4,3,0.0
500,6,3,0.0
501,5,3,0.0
502,4,3,0.0
503,6,3,0.0
504,6,3,0.0
505,5,3,0.0
506,5,3,0.0
507,5,3,0.0
508,7,3,0.0
509,6,3,0.0
510,5,3,0.0
511,4,3,0.0
512,4,3,0.0
513,5,3,0.0
514,7,3,0.0
515,5,3,0.0
516,5,3,0.0
517,6,3,0.0
518,5,3,0.0
519,6,3,0.0
520,6,3,0.0
521,6,3,0.0
522,6,3,0.0
523,6,3,0.0
524,5,3,0.0
525,5,3,0.0
526,6,3,0.0
527,5,3,0.0
528,5,3,0.0
529,6,3,0.0
530,7,3,0.0
531,4,3,0.0
532,6,3,0.0
533,6,3,0.0
534,6,3,0.0
535,5,3,0.0
536,6,3,0.0
537,6,3,0.0
538,4,3,0.0
539,4,3,0.0
540,6,3,0.0
541,6,3,0.0
542,5,3,0.0
543,6,3,0.0
544,5,3,0.0
545,5,3,0.0
546,6,3,0.0
547,6,3,0.0
548,5,3,0.0
549,6,3,0.0
550,6,3,0.0
551,5,3,0.0
552,4,3,0.0
553,5,3,0.0
554,5,3,0.0
555,5,3,0.0
556,5,3,0.0
557,5,3,0.0
558,6,3,0.0
559,5,3,0.0
560,6,3,0.0
561,6,3,0.0
562,6,3,0.0
563,5,3,0.0
564,5,3,0.0
565,4,3,0.0
566,5,3,0.0
567,6,3,0.0
568,5,3,0.0
569,6,3,0.0
570,5,3,0.0
571,6,3,0.0
572,4,3,0.0
573,5,3,0.0
574,6,3,0.0
575,6,3,0.0
576,5,3,0.0
577,6,3,0.0
578,6,3,0.0
579,6,3,0.0
580,6,3,0.0
581,6,3,0.0
582,5,3,0.0
583,6,3,0.0
584,5,3,0.0
585,5,3,0.0
586,6,3,0.0
587,5,3,0.0
588,5,3,0.0
589,5,3,0.0
590,5,3,0.0
591,6,3,0.0
592,6,3,0.0
593,5,3,0.0
594,4,3,0.0
595,4,3,0.0
596,6,3,0.0
597,4,3,0.0
598,4,3,0.0
599,6,3,0.0
600,6,3,0.0
601,4,3,0.0
602,6,3,0.0
603,5,3,0.0
604,4,3,0.0
605,5,3,0.0
606,5,3,0.0
607,4,3,0.0
608,5,3,0.0
609,6,3,0.0
610,6,3,0.0
611,5,3,0.0
612,6,3,0.0
613,4,3,0.0
614,5,3,0.0
615,5,3,0.0
616,6,3,0.0
617,5,3,0.0
618,6,3,0.0
619,5,3,0.0
620,7,3,0.0
621,6,3,0.0
622,6,3,0.0
623,7,3,0.0
624,6,3,0.0
625,5,3,0.0
626,5,3,0.0
627,6,3,0.0
628,5,3,0.0
629,5,3,0.0
630,4,3,0.0
631,6,3,0.0
632,5,3,0.0
633,5,3,0.0
634,6,3,0.0
635,6,3,0.0
636,5,3,0.0
637,6,3,0.0
638,6,3,0.0
639,6,3,0.0
640,5,3,0.0
641,5,3,0.0
642,6,3,0.0
643,5,3,0.0
644,6,3,0.0
645,6,3,0.0
646,6,3,0.0
647,6,3,0.0
648,7,3,0.0
649,7,3,0.0
650,6,3,0.0
651,7,3,0.0
652,5,3,0.0
653,6,3,0.0
654,6,3,0.0
655,4,3,0.0
656,6,3,0.0
657,6,3,0.0
658,6,3,0.0
659,6,3,0.0
660,5,3,0.0
661,5,3,0.0
662,5,3,0.0
663,5,3,0.0
664,5,3,0.0
665,6,3,0.0
666,6,3,0.0
667,6,3,0.0
668,5,3,0.0
669,5,3,0.0
670,6,3,0.0
671,5,3,0.0
672,4,3,0.0
673,6,3,0.0
674,6,3,0.0
675,6,3,0.0
676,7,3,0.0
677,5,3,0.0
678,5,3,0.0
679,5,3,0.0
680,6,3,0.0
681,6,3,0.0
682,5,3,0.0
683,6,3,0.0
684,5,3,0.0
685,6,3,0.0
686,5,3,0.0
687,5,3,0.0
688,5,3,0.0
689,5,3,0.0
690,4,3,0.0
691,6,3,0.0
692,5,3,0.0
693,6,3,0.0
694,6,3,0.0
695,6,3,0.0
696,5,3,0.0
697,7,3,0.0
698,6,3,0.0
699,5,3,0.0
700,5,3,0.0
701,4,3,0.0
702,5,3,0.0
703,5,3,0.0
704,4,3,0.0
705,5,3,0.0
706,7,3,0.0
707,6,3,0.0
708,7,3,0.0
709,6,3,0.0
710,6,3,0.0
711,5,3,0.0
712,5,3,0.0
713,6,3,0.0
714,4,3,0.0
715,6,3,0.0
716,6,3,0.0
717,4,3,0.0
718,5,3,0.0
719,6,3,0.0
720,5,3,0.0
721,6,3,0.0
722,7,3,0.0
723,5,3,0.0
724,4,3,0.0
725,6,3,0.0
726,5,3,0.0
727,5,3,0.0
728,6,3,0.0
729,7,3,0.0
730,5,3,0.0
731,6,3,0.0
732,6,3,0.0
733,5,3,0.0
734,4,3,0.0
735,5,3,0.0
736,6,3,0.0
737,6,3,0.0
738,7,3,0.0
739,6,3,0.0
740,7,3,0.0
741,5,3,0.0
742,6,3,0.0
743,6,3,0.0
744,6,3,0.0
745,6,3,0.0
746,5,3,0.0
747,7,3,0.0
748,6,3,0.0
749,5,3,0.0
750,7,3,0.0
751,7,3,0.0
752,6,3,0.0
753,5,3,0.0
754,6,3,0.0
755,5,3,0.0
756,6,3,0.0
757,6,3,0.0
758,5,3,0.0
759,6,3,0.0
760,5,3,0.0
761,5,3,0.0
762,7,3,0.0
763,4,3,0.0
764,5,3,0.0
765,5,3,0.0
766,5,3,0.0
767,5,3,0.0
768,6,3,0.0
769,6,3,0.0
770,6,3,0.0
771,6,3,0.0
772,5,3,0.0
773,6,3,0.0
774,6,3,0.0
775,4,3,0.0
776,6,3,0.0
777,5,3,0.0
778,5,3,0.0
779,6,3,0.0
780,7,3,0.0
781,5,3,0.0
782,5,3,0.0
783,5,3,0.0
784,5,3,0.0
785,5,3,0.0
786,6,3,0.0
787,5,3,0.0
788,6,3,0.0
789,6,3,0.0
790,7,3,0.0
791,6,3,0.0
792,7,3,0.0
793,6,3,0.0
794,6,3,0.0
795,6,3,0.0
796,6,3,0.0
797,5,3,0.0
798,6,3,0.0
799,7,3,0.0
800,7,3,0.0
801,6,3,0.0
802,6,3,0.0
803,6,3,0.0
804,7,3,0.0
805,6,3,0.0
806,6,3,0.0
807,5,3,0.0
808,5,3,0.0
809,6,3,0.0
810,5,3,0.0
811,7,3,0.0
812,6,3,0.0
813,5,3,0.0
814,6,3,0.0
815,6,3,0.0
816,5,3,0.0
817,6,3,0.0
818,5,3,0.0
819,6,3,0.0
820,6,3,0.0
821,5,3,0.0
822,5,3,0.0
823,6,3,0.0
824,4,3,0.0
825,6,3,0.0
826,6,3,0.0
827,5,3,0.0
828,6,3,0.0
829,6,3,0.0
830,5,3,0.0
831,6,3,0.0
832,6,3,0.0
833,6,3,0.0
834,6,3,0.0
835,5,3,0.0
836,5,3,0.0
837,5,3,0.0
838,6,3,0.0
839,5,3,0.0
840,6,3,0.0
841,5,3,0.0
842,5,3,0.0
843,6,3,0.0
844,5,3,0.0
845,6,3,0.0
846,5,3,0.0
847,5,3,0.0
848,5,3,0.0
849,6,3,0.0
850,6,3,0.0
851,5,3,0.0
852,6,3,0.0
853,5,3,0.0
854,5,3,0.0
855,5,3,0.0
856,6,3,0.0
857,5,3,0.0
858,6,3,0.0
859,4,3,0.0
860,6,3,0.0
861,4,3,0.0
862,5,3,0.0
863,7,3,0.0
864,5,3,0.0
865,5,3,0.0
866,5,3,0.0
867,5,3,0.0
868,5,3,0.0
869,4,3,0.0
870,4,3,0.0
871,5,3,0.0
872,7,3,0.0
873,6,3,0.0
874,5,3,0.0
875,6,3,0.0
876,5,3,0.0
877,5,3,0.0
878,5,3,0.0
879,5,3,0.0
880,6,3,0.0
881,5,3,0.0
882,5,3,0.0
883,5,3,0.0
884,6,3,0.0
885,6,3,0.0
886,6,3,0.0
887,6,3,0.0
888,5,3,0.0
889,5,3,0.0
890,6,3,0.0
891,6,3,0.0
892,6,3,0.0
893,6,3,0.0
894,6,3,0.0
895,7,3,0.0
896,5,3,0.0
897,5,3,0.0
898,5,3,0.0
899,6,3,0.0
900,6,3,0.0
901,5,3,0.0
902,7,3,0.0
903,5,3,0.0
904,6,3,0.0
905,6,3,0.0
906,6,3,0.0
907,4,3,0.0
908,6,3,0.0
909,6,3,0.0
910,6,3,0.0
911,5,3,0.0
912,7,3,0.0
913,4,3,0.0
914,5,3,0.0
915,5,3,0.0
916,5,3,0.0
917,7,3,0.0
918,5,3,0.0
919,5,3,0.0
920,5,3,0.0
921,6,3,0.0
922,4,3,0.0
923,6,3,0.0
924,4,3,0.0
925,5,3,0.0
926,5,3,0.0
927,5,3,0.0
928,5,3,0.0
929,6,3,0.0
930,5,3,0.0
931,5,3,0.0
932,5,3,0.0
933,6,3,0.0
934,7,3,0.0
935,6,3,0.0
936,5,3,0.0
937,5,3,0.0
938,4,3,0.0
939,5,3,0.0
940,5,3,0.0
941,6,3,0.0
942,7,3,0.0
943,5,3,0.0
944,5,3,0.0
945,7,3,0.0
946,6,3,0.0
947,5,3,0.0
948,5,3,0.0
949,6,3,0.0
950,5,3,0.0
951,6,3,0.0
952,6,3,0.0
953,5,3,0.0
954,5,3,0.0
955,5,3,0.0
956,5,3,0.0
957,5,3,0.0
958,5,3,0.0
959,7,3,0.0
960,6,3,0.0
961,5,3,0.0
962,5,3,0.0
963,5,3,0.0
964,5,3,0.0
965,6,3,0.0
966,5,3,0.0
967,6,3,0.0
968,5,3,0.0
969,4,3,0.0
970,5,3,0.0
971,6,3,0.0
972,6,3,0.0
973,5,3,0.0
974,5,3,0.0
975,5,3,0.0
976,5,3,0.0
977,6,3,0.0
978,6,3,0.0
979,6,3,0.0
980,5,3,0.0
981,5,3,0.0
982,6,3,0.0
983,4,3,0.0
984,6,3,0.0
985,6,3,0.0
986,6,3,0.0
987,7,3,0.0
988,6,3,0.0
989,6,3,0.0
990,5,3,0.0
991,6,3,0.0
992,6,3,0.0
993,6,3,0.0
994,6,3,0.0
