index,hight,width,estimate
0,5,2,0.0
1,7,2,0.0
2,7,2,0.0
3,6,2,0.0
4,6,2,0.0
5,6,2,0.0
6,6,2,0.0
7,7,2,0.0
8,6,2,0.0
9,6,2,0.0
10,6,2,0.0
11,7,2,0.0
12,7,2,0.0
13,5,2,0.0
14,6,2,0.0
15,6,2,0.0
16,7,2,0.0
17,7,2,0.0
18,7,2,0.0
19,7,2,0.0
20,7,2,0.0
21,6,2,0.0
22,6,2,0.0
23,6,2,0.0
24,7,2,0.0
25,6,2,0.0
26,7,2,0.0
27,7,2,0.0
28,6,2,0.0
29,6,2,0.0
30,6,2,0.0
31,7,2,0.0
32,6,2,0.0
33,5,2,0.0
34,6,2,0.0
35,6,2,0.0
36,6,2,0.0
37,6,2,0.0
38,6,2,0.0
39,7,2,0.0
40,7,2,0.0
41,6,2,0.0
42,7,2,0.0
43,6,2,0.0
44,5,2,0.0
45,7,2,0.0
46,6,2,0.0
47,7,2,0.0
48,7,2,0.0
49,5,2,0.0
50,7,2,0.0
51,5,2,0.0
52,6,2,0.0
53,7,2,0.0
54,7,2,0.0
55,6,2,0.0
56,6,2,0.0
57,7,2,0.0
58,6,2,0.0
59,6,2,0.0
60,6,2,0.0
61,5,2,0.0
62,6,2,0.0
63,5,2,0.0
64,7,2,0.0
65,6,2,0.0
66,6,2,0.0
67,7,2,0.0
68,6,2,0.0
69,7,2,0.0
70,7,2,0.0
71,6,2,0.0
72,6,2,0.0
73,6,2,0.0
74,5,2,0.0
75,6,2,0.0
76,6,2,0.0
77,6,2,0.0
78,7,2,0.0
79,6,2,0.0
80,6,2,0.0
81,5,2,0.0
82,7,2,0.0
83,7,2,0.0
84,7,2,0.0
85,7,2,0.0
86,7,2,0.0
87,6,2,0.0
88,5,2,0.0
89,5,2,0.0
90,6,2,0.0
91,7,2,0.0
92,6,2,0.0
93,6,2,0.0
94,6,2,0.0
95,7,2,0.0
96,6,2,0.0
97,7,2,0.0
98,5,2,0.0
99,7,2,0.0
100,6,2,0.0
101,7,2,0.0
102,5,2,0.0
103,7,2,0.0
104,6,2,0.0
105,7,2,0.0
106,5,2,0.0
107,7,2,0.0
108,6,2,0.0
109,6,2,0.0
110,6,2,0.0
111,7,2,0.0
112,7,2,0.0
113,6,2,0.0
114,6,2,0.0
115,6,2,0.0
