index,hight,width,estimate
0,5,2,0.0
1,6,2,0.0
2,5,2,0.0
3,6,2,0.0
4,5,2,0.0
5,5,2,0.0
6,6,2,0.0
7,5,2,0.0
8,6,2,0.0
9,6,2,0.0
10,6,2,0.0
11,6,2,0.0
12,7,2,0.0
13,5,2,0.0
14,6,2,0.0
15,5,2,0.0
16,6,2,0.0
17,6,2,0.0
18,7,2,0.0
19,5,2,0.0
20,7,2,0.0
21,6,2,0.0
22,5,2,0.0
23,6,2,0.0
24,6,2,0.0
25,6,2,0.0
26,6,2,0.0
27,6,2,0.0
28,6,2,0.0
29,5,2,0.0
30,5,2,0.0
31,5,2,0.0
32,5,2,0.0
33,6,2,0.0
34,6,2,0.0
35,7,2,0.0
36,7,2,0.0
37,6,2,0.0
38,5,2,0.0
39,5,2,0.0
40,5,2,0.0
41,6,2,0.0
42,7,2,0.0
43,5,2,0.0
44,5,2,0.0
45,6,2,0.0
46,6,2,0.0
47,5,2,0.0
48,5,2,0.0
49,6,2,0.0
50,6,2,0.0
51,6,2,0.0
52,6,2,0.0
53,7,2,0.0
54,6,2,0.0
55,7,2,0.0
56,6,2,0.0
57,6,2,0.0
58,6,2,0.0
59,6,2,0.0
60,5,2,0.0
61,5,2,0.0
62,5,2,0.0
63,5,2,0.0
64,5,2,0.0
65,6,2,0.0
66,5,2,0.0
67,7,2,0.0
68,5,2,0.0
69,5,2,0.0
70,6,2,0.0
71,5,2,0.0
72,7,2,0.0
73,6,2,0.0
74,6,2,0.0
75,6,2,0.0
76,6,2,0.0
77,4,2,0.0
78,6,2,0.0
79,7,2,0.0
80,6,2,0.0
81,5,2,0.0
82,7,2,0.0
83,5,2,0.0
84,7,2,0.0
85,6,2,0.0
86,5,2,0.0
87,6,2,0.0
88,6,2,0.0
89,5,2,0.0
90,5,2,0.0
91,7,2,0.0
92,5,2,0.0
93,5,2,0.0
94,5,2,0.0
95,6,2,0.0
96,6,2,0.0
97,5,2,0.0
98,5,2,0.0
99,6,2,0.0
100,6,2,0.0
101,6,2,0.0
102,6,2,0.0
103,7,2,0.0
104,4,2,0.0
105,7,2,0.0
106,6,2,0.0
107,6,2,0.0
108,5,2,0.0
109,5,2,0.0
110,6,2,0.0
111,6,2,0.0
112,5,2,0.0
113,5,2,0.0
114,6,2,0.0
115,6,2,0.0
116,7,2,0.0
117,4,2,0.0
118,6,2,0.0
119,5,2,0.0
120,6,2,0.0
121,5,2,0.0
122,5,2,0.0
123,5,2,0.0
124,5,2,0.0
125,5,2,0.0
126,5,2,0.0
127,6,2,0.0
128,6,2,0.0
129,6,2,0.0
130,6,2,0.0
131,5,2,0.0
132,7,2,0.0
133,5,2,0.0
134,5,2,0.0
135,6,2,0.0
136,5,2,0.0
137,5,2,0.0
138,6,2,0.0
139,6,2,0.0
140,7,2,0.0
141,5,2,0.0
142,5,2,0.0
143,6,2,0.0
144,6,2,0.0
145,6,2,0.0
146,6,2,0.0
147,6,2,0.0
148,6,2,0.0
149,7,2,0.0
150,6,2,0.0
151,7,2,0.0
152,7,2,0.0
153,5,2,0.0
154,7,2,0.0
155,6,2,0.0
156,5,2,0.0
157,6,2,0.0
158,7,2,0.0
159,5,2,0.0
160,5,2,0.0
161,5,2,0.0
162,7,2,0.0
163,6,2,0.0
164,5,2,0.0
165,6,2,0.0
166,6,2,0.0
167,6,2,0.0
168,7,2,0.0
169,6,2,0.0
170,6,2,0.0
171,7,2,0.0
172,7,2,0.0
173,5,2,0.0
174,6,2,0.0
175,7,2,0.0
176,6,2,0.0
177,6,2,0.0
178,6,2,0.0
179,5,2,0.0
180,6,2,0.0
181,5,2,0.0
182,4,2,0.0
183,6,2,0.0
184,6,2,0.0
185,5,2,0.0
186,6,2,0.0
187,7,2,0.0
188,5,2,0.0
189,6,2,0.0
190,5,2,0.0
191,7,2,0.0
192,7,2,0.0
193,6,2,0.0
194,6,2,0.0
195,7,2,0.0
196,7,2,0.0
197,7,2,0.0
198,6,2,0.0
199,6,2,0.0
200,6,2,0.0
201,6,2,0.0
202,5,2,0.0
203,6,2,0.0
204,5,2,0.0
205,5,2,0.0
206,6,2,0.0
207,6,2,0.0
208,6,2,0.0
209,5,2,0.0
210,7,2,0.0
211,5,2,0.0
212,6,2,0.0
213,5,2,0.0
214,5,2,0.0
215,5,2,0.0
216,5,2,0.0
217,6,2,0.0
218,6,2,0.0
219,6,2,0.0
220,6,2,0.0
221,5,2,0.0
222,6,2,0.0
223,5,2,0.0
224,5,2,0.0
225,7,2,0.0
226,5,2,0.0
227,6,2,0.0
228,7,2,0.0
229,5,2,0.0
230,7,2,0.0
231,6,2,0.0
232,5,2,0.0
233,5,2,0.0
234,5,2,0.0
235,6,2,0.0
236,5,2,0.0
237,6,2,0.0
238,6,2,0.0
239,5,2,0.0
240,6,2,0.0
241,5,2,0.0
242,6,2,0.0
243,5,2,0.0
244,6,2,0.0
245,6,2,0.0
246,6,2,0.0
247,6,2,0.0
248,5,2,0.0
249,6,2,0.0
250,5,2,0.0
251,7,2,0.0
252,5,2,0.0
253,6,2,0.0
254,5,2,0.0
255,5,2,0.0
256,5,2,0.0
257,6,2,0.0
258,5,2,0.0
259,6,2,0.0
260,6,2,0.0
261,6,2,0.0
262,6,2,0.0
263,6,2,0.0
264,5,2,0.0
265,6,2,0.0
266,5,2,0.0
267,6,2,0.0
268,6,2,0.0
269,5,2,0.0
270,6,2,0.0
271,4,2,0.0
272,5,2,0.0
273,5,2,0.0
274,6,2,0.0
275,5,2,0.0
276,6,2,0.0
277,5,2,0.0
278,6,2,0.0
279,4,2,0.0
280,6,2,0.0
281,6,2,0.0
282,6,2,0.0
283,6,2,0.0
284,6,2,0.0
285,5,2,0.0
286,5,2,0.0
287,6,2,0.0
288,5,2,0.0
289,6,2,0.0
290,6,2,0.0
291,5,2,0.0
292,7,2,0.0
293,6,2,0.0
294,7,2,0.0
295,6,2,0.0
296,6,2,0.0
297,6,2,0.0
298,6,2,0.0
299,5,2,0.0
300,4,2,0.0
301,5,2,0.0
302,6,2,0.0
303,5,2,0.0
304,5,2,0.0
305,6,2,0.0
306,6,2,0.0
307,5,2,0.0
308,5,2,0.0
309,5,2,0.0
310,6,2,0.0
311,7,2,0.0
312,4,2,0.0
313,6,2,0.0
314,6,2,0.0
315,4,2,0.0
316,5,2,0.0
317,6,2,0.0
318,6,2,0.0
319,5,2,0.0
320,6,2,0.0
321,7,2,0.0
322,6,2,0.0
323,6,2,0.0
324,5,2,0.0
325,6,2,0.0
326,5,2,0.0
327,7,2,0.0
328,6,2,0.0
329,6,2,0.0
330,4,2,0.0
331,5,2,0.0
332,6,2,0.0
333,5,2,0.0
334,5,2,0.0
335,5,2,0.0
336,6,2,0.0
337,5,2,0.0
338,6,2,0.0
339,5,2,0.0
340,6,2,0.0
341,7,2,0.0
342,6,2,0.0
343,7,2,0.0
344,6,2,0.0
345,5,2,0.0
346,5,2,0.0
347,7,2,0.0
348,5,2,0.0
349,6,2,0.0
350,7,2,0.0
351,6,2,0.0
352,7,2,0.0
353,6,2,0.0
354,6,2,0.0
355,6,2,0.0
356,5,2,0.0
357,5,2,0.0
