index,hight,width,estimate
0,8,1,0.0
1,8,1,0.0
2,8,1,0.0
3,8,1,0.0
4,4,2,0.0
5,4,2,0.0
6,5,2,0.0
7,5,2,0.0
8,6,2,0.0
9,5,2,0.0
10,4,2,0.0
11,6,2,0.0
12,4,2,0.0
13,7,2,0.0
14,6,2,0.0
15,6,2,0.0
16,4,2,0.0
17,7,2,0.0
18,5,2,0.0
19,5,2,0.0
20,6,2,0.0
21,7,2,0.0
22,4,2,0.0
23,5,2,0.0
24,6,2,0.0
25,5,2,0.0
26,5,2,0.0
27,5,2,0.0
28,4,2,0.0
29,6,2,0.0
30,6,2,0.0
31,7,2,0.0
32,5,2,0.0
33,4,2,0.0
34,7,2,0.0
35,5,2,0.0
36,4,2,0.0
37,5,2,0.0
38,5,2,0.0
39,6,2,0.0
40,5,2,0.0
41,6,2,0.0
42,5,2,0.0
43,7,2,0.0
44,4,2,0.0
45,6,2,0.0
46,6,2,0.0
47,6,2,0.0
48,5,2,0.0
49,4,2,0.0
50,7,2,0.0
51,4,2,0.0
52,7,2,0.0
53,6,2,0.0
54,5,2,0.0
55,5,2,0.0
56,7,2,0.0
57,6,2,0.0
58,6,2,0.0
59,6,2,0.0
60,4,2,0.0
61,5,2,0.0
62,7,2,0.0
63,6,2,0.0
64,6,2,0.0
65,6,2,0.0
66,6,2,0.0
67,6,2,0.0
68,7,2,0.0
69,6,2,0.0
70,5,2,0.0
71,5,2,0.0
72,5,2,0.0
73,5,2,0.0
74,4,2,0.0
75,4,2,0.0
76,6,2,0.0
77,4,2,0.0
78,6,2,0.0
79,5,2,0.0
80,6,2,0.0
81,7,2,0.0
82,5,2,0.0
83,5,2,0.0
84,6,2,0.0
85,5,2,0.0
86,5,2,0.0
87,5,2,0.0
88,5,2,0.0
89,5,2,0.0
90,6,2,0.0
91,6,2,0.0
92,5,2,0.0
93,6,2,0.0
94,4,2,0.0
95,5,2,0.0
96,6,2,0.0
97,5,2,0.0
98,6,2,0.0
99,5,2,0.0
100,6,2,0.0
101,7,2,0.0
102,7,2,0.0
103,4,2,0.0
104,5,2,0.0
105,7,2,0.0
106,5,2,0.0
107,7,2,0.0
108,6,2,0.0
109,5,2,0.0
110,6,2,0.0
111,6,2,0.0
112,7,2,0.0
113,6,2,0.0
114,6,2,0.0
115,5,2,0.0
116,5,2,0.0
117,5,2,0.0
118,6,2,0.0
119,7,2,0.0
120,6,2,0.0
121,6,2,0.0
122,7,2,0.0
123,7,2,0.0
124,6,2,0.0
125,7,2,0.0
126,5,2,0.0
127,6,2,0.0
128,6,2,0.0
129,6,2,0.0
130,6,2,0.0
131,4,2,0.0
132,5,2,0.0
133,6,2,0.0
134,5,2,0.0
135,6,2,0.0
136,6,2,0.0
137,7,2,0.0
138,4,2,0.0
139,5,2,0.0
140,4,2,0.0
141,6,2,0.0
142,5,2,0.0
143,7,2,0.0
144,4,2,0.0
145,5,2,0.0
146,6,2,0.0
147,5,2,0.0
148,5,2,0.0
149,5,2,0.0
150,6,2,0.0
151,5,2,0.0
152,7,2,0.0
153,7,2,0.0
154,6,2,0.0
155,6,2,0.0
156,7,2,0.0
157,5,2,0.0
158,4,2,0.0
159,5,2,0.0
160,6,2,0.0
161,5,2,0.0
162,4,2,0.0
163,6,2,0.0
164,5,2,0.0
165,5,2,0.0
166,6,2,0.0
167,4,2,0.0
168,7,2,0.0
169,5,2,0.0
170,6,2,0.0
171,6,2,0.0
172,6,2,0.0
173,6,2,0.0
174,5,2,0.0
175,6,2,0.0
176,6,2,0.0
177,6,2,0.0
178,5,2,0.0
179,5,2,0.0
180,6,2,0.0
181,5,2,0.0
182,4,2,0.0
183,4,2,0.0
184,6,2,0.0
185,7,2,0.0
186,5,2,0.0
187,5,2,0.0
188,5,2,0.0
189,5,2,0.0
190,6,2,0.0
191,4,2,0.0
192,7,2,0.0
193,6,2,0.0
194,5,2,0.0
195,5,2,0.0
196,6,2,0.0
197,6,2,0.0
198,5,2,0.0
199,6,2,0.0
200,4,2,0.0
201,5,2,0.0
202,5,2,0.0
203,7,2,0.0
204,5,2,0.0
205,6,2,0.0
206,5,2,0.0
207,5,2,0.0
208,6,2,0.0
209,6,2,0.0
210,7,2,0.0
211,5,2,0.0
212,4,2,0.0
213,6,2,0.0
214,4,2,0.0
215,5,2,0.0
216,6,2,0.0
217,6,2,0.0
218,5,2,0.0
219,5,2,0.0
220,5,2,0.0
221,6,2,0.0
222,4,2,0.0
223,7,2,0.0
224,6,2,0.0
225,6,2,0.0
226,5,2,0.0
227,5,2,0.0
228,6,2,0.0
229,6,2,0.0
230,5,2,0.0
231,5,2,0.0
232,4,2,0.0
233,5,2,0.0
234,5,2,0.0
235,4,2,0.0
236,5,2,0.0
237,4,2,0.0
238,5,2,0.0
239,4,2,0.0
240,4,2,0.0
241,4,2,0.0
242,4,2,0.0
243,4,2,0.0
244,4,2,0.0
245,4,2,0.0
246,4,2,0.0
247,4,2,0.0
248,5,3,0.0
249,6,3,0.0
250,4,3,0.0
251,5,3,0.0
252,4,3,0.0
253,4,3,0.0
254,5,3,0.0
255,4,3,0.0
256,4,3,0.0
257,4,3,0.0
258,4,3,0.0
259,5,3,0.0
260,6,3,0.0
261,5,3,0.0
262,5,3,0.0
263,6,3,0.0
264,4,3,0.0
265,4,3,0.0
266,4,3,0.0
267,6,3,0.0
268,4,3,0.0
269,6,3,0.0
270,5,3,0.0
271,4,3,0.0
272,5,3,0.0
273,5,3,0.0
274,4,3,0.0
275,5,3,0.0
276,6,3,0.0
277,5,3,0.0
278,5,3,0.0
279,5,3,0.0
280,5,3,0.0
281,4,3,0.0
282,5,3,0.0
283,4,3,0.0
284,5,3,0.0
285,4,3,0.0
286,4,3,0.0
287,4,3,0.0
288,4,3,0.0
289,4,3,0.0
290,4,3,0.0
291,5,3,0.0
292,5,3,0.0
293,5,3,0.0
294,5,3,0.0
295,4,3,0.0
296,5,3,0.0
297,4,3,0.0
298,4,3,0.0
299,4,3,0.0
300,5,3,0.0
301,5,3,0.0
302,4,3,0.0
303,5,3,0.0
304,5,3,0.0
305,4,3,0.0
306,4,3,0.0
307,4,3,0.0
308,5,3,0.0
309,4,3,0.0
310,5,3,0.0
311,5,3,0.0
312,3,3,0.0
313,4,3,0.0
314,5,3,0.0
315,5,3,0.0
316,4,3,0.0
317,6,3,0.0
318,5,3,0.0
319,4,3,0.0
320,4,3,0.0
321,5,3,0.0
322,5,3,0.0
323,5,3,0.0
324,5,3,0.0
325,5,3,0.0
326,4,3,0.0
327,4,3,0.0
328,4,3,0.0
329,6,3,0.0
330,6,3,0.0
331,4,3,0.0
332,3,3,0.0
333,6,3,0.0
334,3,3,0.0
335,4,3,0.0
336,4,3,0.0
337,5,3,0.0
338,5,3,0.0
339,5,3,0.0
340,5,3,0.0
341,4,3,0.0
342,5,3,0.0
343,5,3,0.0
344,6,3,0.0
345,5,3,0.0
346,4,3,0.0
