index,hight,width,estimate
0,7,2,48217.86198397148
1,6,2,48313.7591454978
2,6,2,41150.45077487467
3,6,2,48313.80711670654
4,7,2,48313.80711670654
5,6,2,48122.06485041945
6,6,2,48313.80711670654
7,6,2,48217.90992912057
8,6,2,48313.7591454978
9,4,2,48122.06485041945
10,5,2,48313.80711670654
11,5,2,48217.90992912057
12,5,2,48217.86198397148
13,5,2,41150.45077487467
14,4,2,55580.78399388987
15,5,2,48314.03418060475
16,5,2,55680.55298376469
17,5,3,48313.80711670654
18,5,3,48313.532081953264
19,5,3,55580.21173451864
20,6,3,55779.90109045513
21,5,3,48313.80711670654
22,5,3,55779.85113207655
23,4,3,55779.90109045513
24,5,3,55680.03035804446
25,5,3,55779.90109045513
26,6,3,55679.98042572553
27,4,3,55780.4739474611
28,4,3,55780.42398893308
29,4,3,48314.082151888215
30,3,3,55780.42398893308
31,4,3,55780.37403041808
32,4,3,55780.42398893308
33,5,3,55680.60291623306
34,4,3,55780.42398893308
35,5,3,55780.4739474611
36,4,3,55680.60291623306
37,3,3,55780.4739474611
38,3,4,55780.4739474611
39,4,4,55780.4739474611
2,13,5,9
15,29,14,16
