index,hight,width,estimate
0,7,2,54867.533159610815
1,7,2,53948.905284405635
2,6,2,54867.533159610815
3,5,2,52761.8427717378
4,5,2,54974.34147728091
5,5,2,53674.66129695034
6,6,2,53948.905284405635
7,5,2,54055.19522648493
8,6,3,54832.64379079456
9,4,3,55323.7326576126
10,6,3,54122.57563477849
11,5,3,54055.19522648493
12,5,3,54832.64379079456
13,4,3,54974.34147728091
14,5,3,55114.01576183205
15,6,3,54228.96377155169
16,4,3,55114.01576183205
17,5,3,55114.01576183205
18,5,3,52934.41267032543
19,6,3,55042.05034781322
20,4,3,54055.19522648493
21,4,3,55114.01576183205
22,5,3,54974.34147728091
23,6,3,53848.07803336752
24,4,3,54951.7813176715
25,4,3,55323.75259331136
26,4,3,55780.56341476569
27,5,3,55745.49998911406
28,5,3,55576.53249699481
29,4,3,55745.506740627774
30,5,3,55323.73918098046
31,4,3,55780.55690632887
32,5,3,54437.71592888537
33,4,4,55288.7594715943
34,5,4,55288.7594715943
35,5,4,55007.12889132383
36,4,4,55745.5065574433
37,4,4,55120.19576270162
38,4,4,54402.89273115751
39,4,4,55323.75222771685
40,3,4,55323.75222771685
41,3,4,55745.49998911406
42,3,5,55288.7594715943
3,18,5,23
38,32,24,37
