index,hight,width,estimate
0,5,2,55763.67862467889
1,5,2,55763.67862467889
2,6,2,55763.67862467889
3,4,2,55755.23655892514
4,5,2,55763.67862467889
5,5,2,55755.23655892514
6,5,2,55772.12106265197
7,6,2,55772.12106265197
8,5,2,55763.67862467889
9,5,2,55763.67862467889
10,5,2,55772.12106265197
11,4,2,55763.67862467889
12,5,2,55772.12106265197
13,6,3,55763.67529440205
14,5,3,55772.1177322283
15,6,3,55772.1177322283
16,5,3,55772.12106265197
17,4,3,55772.12106265197
18,5,3,55763.67529440205
19,3,3,55780.56054227389
20,4,3,55780.56054227389
21,4,3,55780.56054227389
22,4,3,55780.56387284439
23,5,3,55772.1177322283
24,4,3,55772.12106265197
25,3,3,55780.56387284439
26,4,3,55780.56387284439
27,5,3,55772.1177322283
28,4,3,55772.12106265197
29,4,3,55780.56387284439
30,3,4,55780.56387284439
31,4,4,55780.55721170344
5,3,13,18
11,27,23,12
