index,hight,width,estimate
0,7,2,38242.66482416601
1,6,2,38242.66482416601
2,6,2,31491.74192135562
3,6,2,31491.74192135562
4,6,2,38951.63888223232
5,7,2,45298.216154218964
6,7,2,38951.63888223232
7,6,2,31491.74192135562
8,5,2,46525.77553695986
9,6,2,46525.77553695986
10,5,2,52658.39591151449
11,7,2,46781.79345295376
12,6,2,39854.37215129243
13,5,2,46021.94460132127
14,4,2,54964.910053637344
15,4,2,54187.179166982314
16,5,2,46021.94460132127
17,5,2,46781.79345295376
18,5,2,46765.261581901024
19,4,2,38935.87072000945
20,5,3,31491.74192135562
21,6,3,52658.39591151449
22,6,3,54982.20563351994
23,4,3,54982.20563351994
24,3,3,54169.956145919314
25,4,3,46748.73128610606
26,3,3,54964.910053637344
27,4,3,53412.64690987566
28,4,3,54169.956145919314
29,4,3,46748.73128610606
30,4,3,54947.61604901251
31,3,4,54930.32361964546
2,3,7,20
19,13,16,29
