index,hight,width,estimate
0,6,2,34528.70488792812
1,7,2,26824.48181465071
2,6,2,41880.09647417364
3,5,2,34291.46801688809
4,5,2,26599.855623018004
5,6,2,34031.03722482461
6,6,2,20413.76063693581
7,6,2,41880.09647417364
8,7,2,34031.03722482461
9,6,2,20413.76063693581
10,6,2,20413.76063693581
11,7,2,34528.70488792812
12,7,2,34528.70488792812
13,4,2,54934.733619774175
14,4,2,41880.09647417364
15,5,2,39422.13778857348
16,5,2,38908.35957870688
17,5,2,34528.70488792812
18,4,2,24827.09556019809
19,5,2,31229.838017303806
20,6,3,41358.41336090352
21,6,3,42141.56342819139
22,5,3,20413.76063693581
23,3,3,38932.69611275892
24,4,3,24827.09556019809
25,3,3,30997.917014079823
26,4,3,24827.09556019809
27,4,3,42141.56342819139
28,4,3,39422.13778857348
29,4,3,46467.72943009577
30,4,3,54372.924509574346
31,3,4,24827.09556019809
6,9,10,22
24,26,18,31
