index,hight,width,estimate
0,6,2,30521.99229499781
1,5,2,51553.88046963177
2,5,2,37447.54319952396
3,6,2,30521.99229499781
4,7,2,44238.62265084455
5,6,2,30521.99229499781
6,7,2,32052.50579005889
7,6,2,38829.26608345145
8,7,2,37227.993259299896
9,6,2,37227.993259299896
10,7,2,37932.364166093175
11,6,2,37932.364166093175
12,6,2,44720.874012864544
13,5,2,44634.490675122055
14,5,2,44634.490675122055
15,5,2,43900.37999708835
16,4,2,51966.564383186735
17,4,2,36904.149992793136
18,5,2,44238.62265084455
19,4,2,51966.564383186735
20,6,3,39540.88769906535
21,6,3,51553.88046963177
22,5,3,30521.99229499781
23,4,3,50849.277027818905
24,4,3,51553.88046963177
25,3,3,51613.127477093025
26,3,3,51553.88046963177
27,4,3,43562.817983530564
28,4,3,43562.817983530564
29,4,3,52735.08896729571
30,4,3,51613.127477093025
31,3,4,50497.99626721008
0,5,3,22
17,27,28,15
