index,hight,width,estimate
0,4,1,686.1252325570656
1,4,1,141.44519075741655
2,4,1,511.71918206608643
3,4,1,707.6869407034688
4,4,1,262.8092974857479
5,4,1,696.618066792967
6,4,1,269.54501834346064
7,4,1,312.8421323528843
8,4,1,696.6180614480472
9,4,1,269.54502368838047
10,4,1,119.8834631384178
11,4,1,131.63971265426463
12,4,1,157.72208634259655
13,4,1,533.2808919217338
14,4,1,262.8093044662867
15,4,1,164.86131157527333
16,4,1,410.53801769701573
17,4,1,219.68583925971018
18,4,1,433.3631393341589
19,4,1,340.32221653674986
20,4,1,411.80140231829097
21,4,1,219.68583972974585
22,4,1,147.28308401547048
23,4,1,416.45636603059666
24,4,1,141.44519075741655
25,4,1,269.54501834346064
26,4,1,410.53801769701573
27,4,1,416.45636603059666
28,4,1,119.8834631384178
29,4,1,269.54502368838047
30,4,1,511.71918206608643
31,4,1,533.2808919217338
32,4,1,707.6869407034688
33,4,1,686.1252325570656
34,4,1,696.6180614480472
35,4,1,696.618066792967
36,4,1,219.68583972974585
37,4,1,147.28308401547048
38,4,1,411.80140231829097
39,4,1,312.8421323528843
40,4,1,157.72208634259655
41,4,1,219.68583925971018
42,3,2,169.43146818894618
43,3,2,511.7191621080209
44,3,2,334.4038628582491
45,3,2,152.31485953052695
46,3,2,210.4682827616032
47,3,2,318.7604879649492
48,3,2,609.4150371786272
49,3,2,163.59357240454267
50,3,2,474.4105843116085
51,3,2,400.0451528553867
52,3,2,119.88346319136033
53,3,2,134.3309523590494
54,3,2,72.60102853660109
55,3,2,127.19903559466852
56,3,2,696.6180882556849
57,3,2,282.8990524051028
58,3,2,427.5252435497554
59,3,2,312.84213428644847
60,3,2,454.82414232299635
61,3,2,50.29423490978676
62,3,2,240.67155609599368
63,3,2,428.54763470975394
64,3,2,422.29425801691036
65,3,2,180.78523777956863
66,3,2,141.44518823106694
67,3,2,108.86605383690242
68,3,2,183.3808824749759
69,3,2,318.760486031385
70,3,2,410.53800855400607
71,3,2,686.1251977143847
72,3,2,217.42869714792855
73,3,2,133.70425644000068
74,3,2,219.68584236419352
75,3,2,87.62362446851272
76,3,2,190.89247211635418
77,3,2,152.1409424586086
78,3,2,152.31485953052695
79,3,2,127.19903559466852
80,3,2,318.7604879649492
81,3,2,312.84213428644847
82,3,2,474.4105843116085
83,3,2,428.54763470975394
84,3,2,152.1409424586086
85,3,2,87.62362446851272
86,3,2,609.4150371786272
87,3,2,696.6180882556849
88,3,2,511.7191621080209
89,3,2,240.67155609599368
90,3,2,180.78523777956863
91,3,2,219.68584236419352
92,3,2,190.89247211635418
93,3,2,183.3808824749759
94,3,2,210.4682827616032
95,3,2,108.86605383690242
96,3,2,141.44518823106694
97,3,2,400.0451528553867
98,3,2,72.60102853660109
99,3,2,282.8990524051028
100,3,2,217.42869714792855
101,3,2,686.1251977143847
102,3,2,318.760486031385
103,3,2,422.29425801691036
104,3,2,410.53800855400607
105,2,3,51.46225285075465
106,2,3,474.4105751685989
107,2,3,108.04332809432898
108,2,3,319.9740512839162
109,2,3,319.9740512839162
110,2,3,51.46225285075465
111,2,3,474.4105751685989
61,105,54,75
110,98,85,95
