index,hight,width,estimate
0,5,2,34291.46801688809
1,6,2,34291.46801688809
2,7,2,34528.70488792812
3,6,2,20413.76063693581
4,6,2,20413.76063693581
5,5,2,41358.41336090352
6,6,2,27049.486316835377
7,7,2,27049.486316835377
8,7,2,27286.10395750959
9,6,2,20413.76063693581
10,6,2,28542.03417660142
11,7,2,34031.03722482461
12,6,2,27286.10395750959
13,5,2,31939.487869463406
14,4,2,29549.91584149526
15,5,2,34528.70488792812
16,4,2,38932.69611275892
17,5,2,31694.814955407644
18,5,2,46467.72943009577
19,4,2,24827.09556019809
20,6,3,41358.41336090352
21,5,3,20413.76063693581
22,6,3,42141.56342819139
23,4,3,24827.09556019809
24,4,3,31694.814955407644
25,4,3,31939.487869463406
26,4,3,54372.924509574346
27,4,3,42141.56342819139
28,3,3,38932.69611275892
29,4,3,24827.09556019809
30,3,3,54372.924509574346
31,3,4,24827.09556019809
3,4,9,21
23,29,19,31
