index,hight,width,estimate
0,7,2,45712.99364703329
1,6,2,52320.68192947886
2,6,2,30521.99229499781
3,5,2,36745.37236119321
4,6,2,53090.682018874315
5,6,2,44238.62265084455
6,6,2,45712.99364703329
7,5,2,37447.54319952396
8,6,2,30521.99229499781
9,6,2,30521.99229499781
10,7,2,44238.62265084455
11,7,2,36986.493654970574
12,7,2,32052.50579005889
13,5,2,51201.23842862613
14,5,2,43900.37999708835
15,4,2,53090.682018874315
16,5,2,52735.08896729571
17,4,2,52320.68192947886
18,5,2,44634.490675122055
19,4,2,36904.149992793136
20,6,3,53863.88073781814
21,6,3,51553.88046963177
22,5,3,30521.99229499781
23,4,3,51553.88046963177
24,4,3,43562.817983530564
25,4,3,52735.08896729571
26,4,3,51201.23842862613
27,3,3,51613.127477093025
28,4,3,43562.817983530564
29,4,3,53863.88073781814
30,3,3,50849.277027818905
31,3,4,50497.99626721008
2,8,9,22
19,28,24,14
