index,hight,width,estimate
0,7,2,51480.524730226214
1,6,2,52240.8712559997
2,6,2,52240.87125599971
3,5,2,55005.72118023304
4,7,2,54746.18888573751
5,6,2,51607.364461773934
6,7,2,54974.725710189734
7,6,2,55619.75406764964
8,8,2,54845.57436521189
9,6,2,55232.26921098339
10,5,2,55780.55305153177
11,7,2,55232.26233971337
12,5,2,55134.98150685223
13,6,2,55580.85636254445
14,6,2,55519.96358186087
15,7,2,55619.75406764964
16,6,2,52181.04249571847
17,6,2,51664.343639975115
18,6,2,51762.49495228582
19,6,2,54935.95947213626
20,6,2,48671.31234367347
21,6,2,54875.27255153665
22,7,2,54806.8345038745
23,5,2,54906.25343700293
24,6,2,55005.72449730094
25,6,2,55522.26561981753
26,6,2,55392.74376461526
27,4,2,55780.550129998985
28,6,2,51958.16134019381
29,5,2,55431.02112457755
30,5,2,55134.984826176464
31,5,2,55005.719299656266
32,4,2,55780.546377258484
33,5,2,55780.550129998985
34,5,2,55114.74605953272
35,6,2,52338.93105269925
36,5,2,55143.461893472886
37,5,2,55380.9687748184
38,6,2,55392.73855575631
39,5,2,52093.67894525576
40,5,2,55780.54804910997
41,4,3,54935.95947213626
42,5,3,54806.8345038745
43,6,3,55232.26067265517
44,4,3,55780.53970298543
45,7,3,54845.57767948215
46,6,3,52142.85925948318
47,5,3,55580.85636254445
48,5,3,52338.93249908492
49,4,3,52338.937202745496
50,5,3,54944.02715010632
51,6,3,52240.87125599971
52,6,3,55232.272532004856
53,5,3,55193.452081672745
54,4,3,48960.294287911995
55,5,3,55619.74405808836
56,4,3,55780.546377258484
57,6,3,52181.04576309015
58,6,3,52083.0704778338
59,5,3,55780.55305153177
60,6,3,51897.46715055407
61,6,3,55232.265660734716
62,6,3,54974.72902671635
63,6,3,51897.46715055407
64,6,3,55619.75739542236
65,6,3,55392.74376461526
66,6,3,52142.85925948318
67,4,3,55392.74210925878
68,6,3,51860.3062742958
69,4,3,51705.09307013793
70,6,3,55232.26921098339
71,5,3,55519.96358186087
72,5,3,52338.937202745496
73,5,3,55232.272532004856
74,5,3,52338.92082610948
75,5,3,51578.185657155154
76,7,3,52181.04085559087
77,5,3,55243.059042104636
78,5,3,55093.882755980085
