index,hight,width,estimate
0,7,2,52733.96974979051
1,8,2,52779.53837392737
2,6,2,52238.16847522551
3,5,2,52732.1012906785
4,8,2,52459.9764879048
5,8,2,52505.48070284247
6,6,2,51964.909386607425
7,5,2,52732.1012906785
8,6,2,52283.61510212167
9,7,2,53229.226874248154
10,7,2,52459.9764879048
11,5,2,51964.909386607425
12,8,2,52733.96974979051
13,7,2,53229.226874248154
14,5,2,52010.29159634399
15,7,2,52779.53837392737
16,7,2,53229.226874248154
17,5,2,52732.1012906785
18,5,2,52238.16847522551
19,6,2,52010.29159634399
20,7,2,53229.226874248154
21,7,2,52505.48070284247
22,5,2,52283.61510212167
23,5,2,52732.1012906785
24,6,2,55780.37488310944
25,6,2,55780.37488310944
26,6,2,55780.37488310944
27,6,2,55780.371861638734
28,6,2,55780.3730502022
29,6,2,55780.37002873152
30,5,3,54769.51080986717
31,5,3,54769.504183986035
32,4,3,54723.44296046944
33,5,3,52543.30179377376
34,7,3,54685.17880295007
35,5,3,52588.82651139363
36,6,3,54685.18542588193
37,5,3,52010.29812503065
38,7,3,52459.97321559216
39,7,3,52505.47742972447
40,5,3,54723.44627260457
41,5,3,54328.815481208476
42,7,3,52505.48724907863
43,4,3,54723.44296046944
44,6,3,53600.804291164386
45,6,3,55502.0386730878
46,6,3,52505.47742972447
47,5,3,55046.893718926825
48,7,3,54723.44627260457
49,5,3,53830.64161548291
50,5,3,54328.815481208476
51,5,3,54270.169438635545
52,5,3,54270.169438635545
53,6,3,55502.0386730878
54,6,3,55417.38785892956
55,6,3,52012.16552200249
56,5,3,54328.815481208476
57,5,3,53555.03136431455
58,5,3,52010.29812503065
59,5,3,53993.907181189665
60,7,3,55046.893718926825
61,6,3,52459.9797602175
62,6,3,51822.228899067784
63,5,3,52588.82651139363
64,5,3,52588.82651139363
65,5,3,52543.30179377376
66,4,3,53555.03465595332
67,7,3,52459.97321559216
68,5,3,52543.30179377376
69,6,3,52459.97321559216
70,7,3,55000.77143447288
71,6,3,55502.0386730878
72,5,3,54769.50087104556
73,5,3,53555.03465595332
74,7,3,54769.504183986035
75,5,3,54769.50087104556
76,5,3,53600.81087605269
77,5,3,55000.77143447288
78,7,3,54639.14139505615
79,5,3,53876.478933999446
80,6,3,51739.22575400846
81,7,3,54916.34317601677
82,5,3,54723.44296046944
83,6,3,52505.47742972447
84,5,3,53600.804291164386
85,7,3,52459.9797602175
86,5,3,53993.907181189665
87,5,3,51964.91265014537
88,6,3,52505.48724907863
89,6,3,51739.22575400846
90,5,3,54723.44296046944
91,6,3,54639.1447057167
92,6,3,55502.0386730878
93,6,3,54769.51080986717
94,4,3,54769.50087104556
95,5,3,52543.30179377376
96,6,3,52095.28256074306
97,7,3,54962.44495832094
98,6,3,52012.156031826766
99,6,3,54723.44958473975
100,6,3,53555.03136431455
101,5,3,51964.91265014537
102,4,3,54769.50087104556
103,6,3,52459.97321559216
104,5,3,54328.815481208476
105,6,3,51822.228899067784
106,7,3,52505.47742972447
107,6,3,52095.28256074306
108,4,3,53600.81087605269
109,6,3,53830.64161548291
110,6,3,55417.38785892956
111,6,3,53876.478933999446
