index,hight,width,estimate
0,7,2,51732.05829139077
1,6,2,46752.596318764445
2,7,2,51732.05829139077
3,5,2,47826.10513713547
4,8,2,51152.80908481483
5,7,2,50634.8584064197
6,5,2,47784.8891030985
7,7,2,50862.156441345585
8,5,2,48864.74825628762
9,5,2,46974.97473741369
10,5,2,47826.10513713547
11,5,2,48864.74825628762
12,5,2,48070.577316808325
13,5,2,47259.34548254863
14,7,2,51732.05829139077
15,7,2,51732.05829139077
16,8,2,50925.144625348716
17,6,2,48008.58621334829
18,7,2,50925.144625348716
19,6,2,47036.60070084568
20,8,2,50862.156441345585
21,8,2,50634.8584064197
22,7,2,51152.80908481483
23,6,2,48294.640806593125
24,6,2,55780.51883425705
25,6,2,55780.51883425705
26,6,2,55780.51289030835
27,6,2,55780.5158088535
28,6,2,55780.51883425705
29,6,2,55780.51591571186
30,4,3,48008.58302080011
31,6,3,55482.56173357828
32,5,3,47784.88591461142
33,5,3,46974.97791115387
34,4,3,47784.895480072846
35,7,3,54473.580908257754
36,6,3,51044.27912538365
37,7,3,54241.80285801503
38,7,3,54177.67565266803
39,5,3,48864.74825628762
40,6,3,52143.941080262186
41,7,3,50862.15319743862
42,5,3,48294.640806593125
43,4,3,48008.58940589652
44,5,3,46933.955811212654
45,5,3,51044.26938391208
46,5,3,49992.93531778727
47,5,3,48008.58940589652
48,6,3,49770.18525606919
49,5,3,54659.27732350826
50,5,3,51272.080029465404
51,6,3,50467.206325312756
52,4,3,51272.080029465404
53,5,3,47784.895480072846
54,6,3,55063.27325935245
55,6,3,55063.27325935245
56,5,3,51272.083280683626
57,4,3,51044.26938391208
58,7,3,54363.08398838145
59,5,3,48008.58940589652
60,5,3,54363.08398838145
61,5,3,48864.74825628762
62,5,3,46933.955811212654
63,7,3,54595.0081773605
64,5,3,48008.58302080011
65,5,3,48070.577316808325
66,7,3,50634.85516657382
67,6,3,51086.24697546384
68,5,3,50467.206325312756
69,5,3,51272.080029465404
70,6,3,50467.206325312756
71,6,3,50862.15319743862
72,7,3,53946.264078377506
73,7,3,50862.15319743862
74,7,3,50862.15968525261
75,5,3,51044.26938391208
76,5,3,51272.080029465404
77,6,3,50059.102770071855
78,5,3,51272.0865319019
79,5,3,50467.206325312756
80,6,3,48294.640806593125
81,5,3,48864.74825628762
82,6,3,50059.102770071855
83,6,3,49770.18525606919
84,6,3,50862.15968525261
85,6,3,54177.6789552451
86,5,3,47784.895480072846
87,7,3,50634.85516657382
88,6,3,53946.270675409534
89,6,3,47784.8891030985
90,6,3,50634.86488611162
91,6,3,52143.941080262186
92,5,3,51044.26938391208
93,6,3,46933.955811212654
94,5,3,48864.74825628762
95,5,3,48008.58302080011
96,7,3,50634.86488611162
97,6,3,45906.69468890421
98,6,3,48008.58621334829
99,6,3,50219.42405151305
100,5,3,47784.88591461142
101,6,3,50634.85516657382
102,5,3,46752.59314908542
103,5,3,54891.567994846286
104,7,3,54891.567994846286
105,6,3,48070.577316808325
106,4,3,47784.88591461142
107,5,3,47784.8891030985
108,6,3,50634.85516657382
109,5,3,48008.58621334829
110,5,3,46752.60265812267
111,6,3,50862.15319743862
112,7,3,51335.21340548752
113,5,3,46974.971563673585
114,4,3,54595.024726802694
115,6,3,54891.57794006833
116,4,3,54595.018107025644
117,5,3,54659.297189586054
118,4,3,54363.08790000688
119,6,3,55482.565363653215
120,5,3,55482.58168588278
121,5,3,54363.103823345744
122,4,3,54659.296370375734
123,5,3,53775.58407564021
124,4,3,54363.08790000688
125,4,3,55482.57503511439
126,6,3,54891.57462499426
127,5,3,54363.087597107784
128,5,3,54595.018107025644
129,5,3,54891.58498032421
130,4,3,54891.5841601091
131,5,3,55482.58168588278
132,5,3,55482.58168588278
133,6,3,54659.284248908196
134,5,3,54891.58706507578
135,5,3,55482.56899372822
136,5,3,55482.57503511439
137,5,3,54891.58706507578
138,5,3,54595.02141691414
139,6,3,55482.572014421276
140,5,3,54891.58125514247
141,6,3,54891.57794006833
142,5,3,54595.018107025644
143,5,3,54363.100517518214
144,5,3,54595.014797137206
145,4,3,53775.594777569255
146,5,3,53775.58407564021
147,5,3,55482.572014421276
148,5,3,54659.296370375734
149,4,3,54595.024726802694
150,5,3,54659.284248908196
151,6,3,54891.57462499426
152,5,3,54659.297189586054
153,5,3,54363.09090293509
154,6,3,55482.572014421276
155,4,3,54363.11043500097
156,6,3,55482.56838434622
157,5,3,53775.584891016595
158,6,3,54891.58125514247
159,4,3,55482.57503511439
160,5,3,55482.568689037216
161,5,3,54595.018107025644
162,5,3,54659.297189586054
163,4,3,53775.58407564021
164,5,3,55482.57503511439
165,5,3,54595.018107025644
166,5,3,54659.28455228243
167,6,3,54891.58125514247
168,5,3,54659.29677998089
169,5,3,54891.58498032421
170,4,3,54891.5841601091
171,5,3,54363.09090293509
172,5,3,54891.58125514247
173,6,3,54659.29046132899
174,5,3,54595.018107025644
175,5,3,53775.581187810974
176,4,3,53775.594777569255
177,4,3,53775.58407564021
178,5,3,54891.58498032421
179,6,3,55482.57170973027
180,4,3,54595.018107025644
181,6,3,54659.28684694176
182,6,3,55482.568689037216
183,5,3,54659.297189586054
184,4,3,54363.103823345744
185,6,3,54659.29015795475
186,5,3,54659.290870934135
187,4,3,53775.594777569255
188,6,3,54659.29046132899
189,5,3,54363.100517518214
190,5,3,53775.584891016595
191,5,3,53775.58818653409
192,5,3,55482.57503511439
193,5,3,54891.58125514247
194,5,3,54659.296370375734
195,5,3,54891.5841601091
196,5,3,53775.581187810974
197,5,3,54891.5841601091
198,6,3,54659.28093789531
199,4,3,54659.296370375734
200,4,3,54595.02141691414
201,4,3,54363.103823345744
202,5,3,54363.087597107784
203,5,3,55482.57170973027
204,5,4,50177.64029221263
205,6,4,54363.080682554275
206,5,4,54595.004867472235
207,5,4,54595.004867472235
208,6,4,54177.67235009102
209,5,4,53065.895112717735
210,5,4,53775.593554504616
211,6,4,54363.080682554275
212,6,4,49770.182031718985
213,6,4,54595.004867472235
214,5,4,54363.080682554275
215,5,4,50177.64029221263
216,6,4,49770.182031718985
217,4,4,50177.64029221263
218,6,4,54177.67235009102
219,5,4,53360.07498276815
220,6,4,53946.260779861586
221,5,4,53480.75906587705
