index,hight,width,estimate
0,7,2,50988.04418435919
1,5,2,51858.547162535324
2,5,2,51566.770318508556
3,7,2,50760.585764932606
4,7,2,50760.59184803937
5,5,2,51858.547162535324
6,8,2,52060.765767116645
7,6,2,51858.544304384144
8,5,2,51566.770318508556
9,7,2,50988.0474305132
10,6,2,51858.547162535324
11,6,2,51858.547162535324
12,9,2,51480.48100019888
13,7,2,52060.765767116645
14,6,2,50760.59184803937
15,7,2,52353.32533150592
16,6,2,50988.04418435919
17,7,2,52060.765767116645
18,6,2,51858.544304384144
19,8,2,51252.410192443625
20,7,2,52353.32533150592
21,8,2,52060.765767116645
22,8,2,52353.32533150592
23,6,2,50760.585764932606
24,8,2,51252.40409287288
25,5,2,51858.544304384144
26,6,2,51566.770318508556
27,5,2,51566.770318508556
28,6,2,51566.770318508556
29,9,2,51252.40409287288
30,8,2,52353.32533150592
31,8,2,52060.765767116645
32,6,2,51566.770318508556
33,8,2,51480.48100019888
34,9,2,51252.410192443625
35,7,2,52060.765767116645
36,7,2,52353.32819734633
37,5,2,51566.770318508556
38,8,2,52353.32819734633
39,8,2,51480.47774527011
40,9,2,51480.47774527011
41,6,2,51566.770318508556
42,5,2,51858.544304384144
43,7,2,52060.765767116645
44,8,2,52060.765767116645
45,8,2,52353.32819734633
46,6,2,50988.0474305132
47,7,2,52353.32819734633
48,6,3,50384.80095478565
49,5,3,53196.88737634698
50,5,3,54363.07003887346
51,6,3,50961.595383781634
52,5,3,52143.910984314636
53,6,3,55482.537714355705
54,5,3,50697.65787278489
55,7,3,53427.36789978299
56,7,3,55482.54103973919
57,7,3,53196.880805686065
58,6,3,51189.30260652452
59,6,3,50467.186632557765
60,5,3,51566.776831436604
61,5,3,54309.43472442497
62,5,3,53427.361321000135
63,5,3,54594.98096887169
64,6,3,50467.186632557765
65,6,3,50697.65463181651
66,6,3,51044.24272646913
67,7,3,50177.62669753154
68,9,3,51252.4105946082
69,5,3,54891.54405587907
70,6,3,51272.05658756661
71,7,3,50177.62669753154
72,5,3,54309.43472442497
73,8,3,52060.7722975942
74,5,3,53491.23912054369
75,7,3,50697.661113753325
76,5,3,53491.23912054369
77,5,3,51566.773574972554
78,7,3,52060.7690323554
79,7,3,50467.18623212771
80,6,3,50961.59862946368
81,5,3,51044.24922078243
82,6,3,51566.776831436604
83,6,3,55482.54103973919
84,7,3,52060.7722975942
85,8,3,51189.29935678144
86,6,3,51044.24597362575
87,6,3,53775.55410555955
88,7,3,54363.06342721972
89,6,3,51563.36700378347
90,7,3,52060.76250187796
91,7,3,52060.7722975942
92,7,3,50760.59224911842
93,5,3,54309.43802931205
94,7,3,54278.9191536994
95,6,3,50697.65787278489
96,6,3,55482.537714355705
97,5,3,52143.910984314636
98,4,3,54594.98096887169
99,5,3,54594.98096887169
100,5,3,54594.99089853531
101,7,3,51189.30585626765
102,7,3,52060.7690323554
103,8,3,54510.73992392908
104,8,3,51480.4744903414
105,7,3,52060.76250187796
106,6,3,50961.59862946368
107,8,3,51480.48465779468
108,6,3,54363.05350973953
109,7,3,50961.59862946368
