index,hight,width,estimate
0,7,1,1.8975522638724004e+16
1,7,1,1233018790818.3442
2,5,2,895045429.6278133
3,5,2,8355605506093691.0
4,5,2,4614086036.478619
5,5,2,43238114732529.5
6,4,2,4554622784.988262
7,5,2,2426983056.8520184
8,5,2,269968177213535.62
9,5,2,75435683582826.05
10,6,2,301277726957627.1
11,4,2,1754225963.3875988
12,5,2,59209363019.98775
13,4,2,220242572755424.4
14,5,2,3576871448.214692
15,6,2,27233359567.188763
16,4,2,2303148877.441931
17,4,2,29543989273732.406
18,5,2,663496950604.2089
19,5,2,59522888850234.836
20,6,2,4228241121.262377
21,4,2,24274061787.78168
22,5,2,43796458591479.7
23,6,2,3969218287.223806
24,5,2,6165054205012438.0
25,5,2,87281377622.87918
26,4,2,2911016447.0310917
27,5,2,4078514694.1600876
28,5,2,78407001883878.45
29,4,2,43522021833303.77
30,6,2,4038904718271723.5
31,6,2,7.728386237347115e+16
32,5,2,3576157924.116299
33,3,2,57070754033312.336
34,5,2,16720978666.175127
35,6,2,2.4439548570322116e+16
36,5,2,37884598708317.44
37,5,2,1028489958471447.5
38,4,2,69731855774254.31
39,4,2,120119238853.42609
40,5,2,1432141424383774.2
41,4,2,21097720187.96667
42,4,2,16870419732.68132
43,5,2,10962560475384.0
44,4,2,2222543202.472411
45,5,2,487498609990461.8
46,5,2,1138320478.6961958
47,6,2,355249058464.4796
48,5,2,121427329725.92809
49,6,2,2225274129268.8867
50,5,2,24072966534.95921
51,6,2,3632210622129.712
52,5,2,7054755767.339917
53,6,2,132450440823.67213
54,4,2,43531598165900.36
55,6,2,645929612450.1295
56,4,2,419221531893.87006
57,5,2,93564616907575.73
58,4,2,4928118572.185715
59,6,2,16720978666.175127
60,6,2,720413587339.5538
61,6,2,12153881177.704342
62,6,2,146383102166757.1
63,5,2,1.698617399223638e+16
64,4,2,76035948238280.89
65,4,2,85973286750.37718
66,4,2,3852430575575841.0
67,5,2,173242324.09416613
68,5,2,72450425863393.52
69,6,2,654989895435868.2
70,4,2,23741122346.083397
71,6,2,10748654598215.115
72,6,2,99973698689.3368
73,5,2,63277236655170.12
74,5,2,322395994291954.5
75,3,3,32360830111959.445
76,4,3,24539529394812.832
77,5,3,236599336632431.34
78,4,3,265867836992668.12
79,4,3,6488712900523102.0
80,5,3,1440095119953567.8
81,5,3,421294951633015.25
82,5,3,152981110510941.75
83,4,3,23579844308773.35
84,4,3,21714641739193.46
85,3,3,269397345539128.56
86,4,3,32364589200.437283
87,4,3,48971954202772.95
88,3,3,24586551107.188354
89,5,3,292735833436105.9
90,5,3,25410959167.36529
91,4,3,2691682124.5049095
92,5,3,131260647397788.28
93,4,3,275701206546386.28
94,4,3,4521527670.379062
95,4,3,309603381163140.6
96,4,3,16091996520.897459
97,4,3,75382585464889.61
98,5,3,4575752636.608848
99,3,3,61384816161372.836
100,4,3,43184808926833.96
101,3,3,151648560952525.9
102,5,3,351729278672.4014
103,4,4,755303289980484.0
104,3,4,197047238670043.6
67,2,46

